customer_id,snapshot_date,customer_type,gender,primary_channel,total_views_7d,add_to_cart_7d,purchase_7d,recency_days,orders_30d,orders_90d,orders_365d,revenue_30d,revenue_90d,revenue_365d,aov_90d,channel_web_orders_90d,channel_store_orders_90d,channel_marketplace_orders_90d,avg_discount_rate_90d,discounted_line_ratio_90d,interest_top_category_90d,top_category_share_90d,unique_categories_90d,unique_products_90d,category_mix_entropy_90d,tickets_30d,open_tickets,avg_resolution_time_hours_90d,csat_avg_90d,churn_label_30d,future_revenue_6m,future_revenue_12m,segment_hint
cust_748536d01fd2,2025-07-18,retail,female,store,34,4,2,127,0,1,3,1006731.93,1403788.23,4157161.93,1403788.23,0,1,0,0.2073,1.0,Chưa rõ,0.3227,3,3,0.7441,0,0,22.42,3.46,1,621825.64,5018765.08,At-risk Dormant
cust_0c69664330bb,2025-06-05,retail,female,store,15,1,0,44,0,1,4,469562.46,981408.66,2253194.21,981408.66,0,1,0,0.3626,0.6853,Chưa rõ,0.6405,3,3,0.395,0,0,17.0,4.15,0,1582296.11,5169341.56,Regular
cust_dfe4d96b8573,2026-01-29,retail,female,web,25,2,1,42,0,1,7,93670.43,245024.87,562812.34,245024.87,1,0,0,0.2662,0.3751,Chưa rõ,0.3121,2,4,0.4768,2,0,5.01,5.0,0,490235.01,1078526.15,New / One-time
cust_08ce19e45df6,2026-01-01,retail,other,web,28,4,1,6,2,3,7,463679.26,868238.65,3384091.5,289412.88,3,0,0,0.4152,0.4587,Chưa rõ,0.5387,2,6,0.3198,1,1,12.49,4.21,0,1444497.25,5656463.65,Regular
cust_01c605e9d548,2025-02-21,retail,male,store,32,3,0,37,1,2,6,619775.53,991753.64,2465003.6,495876.82,1,1,0,0.3312,0.5219,Chưa rõ,0.2061,2,6,0.5503,0,0,12.21,3.42,0,1393145.84,6021172.17,Regular
cust_0045661096c2,2025-01-20,vip,male,web,35,4,3,34,2,3,8,1765668.66,3222158.31,14659367.71,1074052.77,3,0,0,0.3,0.6972,Chưa rõ,0.2594,3,10,0.8136,2,0,33.55,4.07,0,2933345.84,39947987.81,Regular
cust_f6a2f2a5dea0,2025-08-05,wholesale,female,store,31,4,0,85,1,2,5,62483.95,108496.81,983434.68,54248.41,1,1,0,0.3285,0.4323,Chưa rõ,0.2795,3,6,0.7916,1,0,6.88,3.07,1,59171.54,955763.17,At-risk Dormant
cust_1050157845b4,2025-04-02,vip,female,store,36,4,1,73,1,1,4,847979.83,1293445.45,2973427.83,1293445.45,0,1,0,0.2908,0.6183,Chưa rõ,0.8132,3,3,0.2052,0,0,20.15,2.88,1,875136.05,2740162.14,At-risk Dormant
cust_f092fdb746f0,2026-01-09,vip,female,store,31,3,0,111,0,1,3,83817.44,137314.29,1206869.19,137314.29,0,1,0,0.4372,0.6499,Chưa rõ,0.7241,2,2,0.1912,0,0,45.54,2.98,1,70240.91,1753064.47,At-risk Dormant
cust_24d29ffd6df6,2025-10-15,unknown,male,web,27,4,0,17,1,2,6,609310.91,1126144.21,3168646.3,563072.1,2,0,0,0.3447,0.4346,Chưa rõ,0.4802,1,6,0.0,1,0,6.64,4.44,0,1828005.8,4999467.1,Regular
cust_5bad4e14ec65,2026-01-26,retail,female,web,22,2,1,1,2,4,8,405690.84,639694.64,2036075.77,159923.66,4,0,0,0.3151,0.4621,Chưa rõ,0.1663,2,12,0.5779,0,0,10.47,3.8,0,1376893.73,5276486.98,Loyal Budget
cust_3c7fdfb5906d,2025-09-17,vip,female,web,17,3,0,105,0,1,4,964687.13,1341791.31,7777311.44,1341791.31,1,0,0,0.3086,0.9757,Chưa rõ,0.6528,3,2,0.3815,0,0,78.08,3.14,1,1212699.03,9382273.84,At-risk Dormant
cust_08f1286bc40a,2025-03-20,retail,female,web,4,1,0,60,0,1,3,799273.16,2070311.4,4954490.61,2070311.4,1,0,0,0.4334,0.7238,Chưa rõ,0.9325,1,2,0.0,1,0,11.52,3.55,0,3091866.01,7471903.41,Regular
cust_fa4666423086,2025-07-19,retail,female,store,48,6,1,24,1,2,12,317756.66,930783.41,3623939.44,465391.71,0,1,1,0.2411,0.7313,Chưa rõ,0.5338,3,3,0.5122,0,0,12.58,3.82,0,2041520.17,6365307.36,Regular
cust_04e925dd441c,2025-08-23,retail,male,web,30,4,0,17,1,1,2,63201.94,137306.08,580176.07,137306.08,1,0,0,0.3371,0.4723,Chưa rõ,0.4612,4,3,0.7469,1,0,8.45,3.49,0,201074.6,1442947.76,New / One-time
cust_8e128b88372d,2025-04-09,vip,female,web,7,0,0,44,0,1,8,53495.82,153630.35,830462.16,153630.35,1,0,0,0.341,0.4429,Chưa rõ,0.7436,6,3,0.4595,1,0,40.01,4.29,0,262358.54,1904574.31,New / One-time
cust_becea503252b,2025-10-17,vip,female,web,20,1,1,58,0,1,2,415029.74,620712.53,1501909.71,620712.53,1,0,0,0.2755,0.3118,Chưa rõ,0.4595,2,4,0.3747,0,0,2.68,4.2,0,592472.75,2966006.1,New / One-time
cust_d0a2d45958f0,2025-02-20,wholesale,female,web,23,2,0,75,0,1,3,184650.49,246370.78,809095.66,246370.78,1,0,0,0.2389,0.4231,Chưa rõ,0.8637,1,2,0.0,2,0,72.89,2.93,1,132247.15,1053328.76,At-risk Dormant
cust_3f8dcbeaf69a,2025-09-06,retail,male,web,36,3,3,22,1,2,9,344530.12,475544.97,2571090.98,237772.48,2,0,0,0.2805,0.4149,Chưa rõ,0.4332,4,8,0.7858,0,0,1.5,4.31,0,467660.16,6109994.44,Regular
cust_945a10c76ae1,2025-03-17,retail,male,web,32,2,2,18,1,2,5,41548.21,81178.04,772222.06,40589.02,2,0,0,0.3453,0.7738,Chưa rõ,0.5949,2,6,0.2808,0,0,19.29,4.12,0,151298.21,1028671.56,Regular
cust_6d6e5b09e8d0,2025-10-19,vip,female,web,22,1,0,61,2,5,9,466290.11,1227478.7,3371824.51,245495.74,4,0,1,0.3213,0.9769,Chưa rõ,0.5944,7,8,0.7894,1,1,19.03,2.32,1,548486.3,4318947.71,Loyal Budget
cust_24730e0e3f6b,2025-09-20,retail,male,web,23,2,0,84,0,2,5,56102.57,142885.86,1224234.02,71442.93,2,0,0,0.2942,0.5898,Chưa rõ,0.2203,3,8,0.8566,0,0,66.48,3.33,1,136249.51,776118.58,At-risk Dormant
cust_f5dcc2e8a55d,2025-07-30,retail,male,web,28,3,1,21,1,4,9,131572.48,312678.21,2523936.58,78169.55,4,0,0,0.3371,0.8564,Chưa rõ,0.4948,4,11,0.7003,0,0,31.4,4.45,0,573348.82,2757190.88,Loyal Budget
cust_f506ce54b2e5,2026-03-26,retail,male,marketplace,18,2,0,8,1,2,4,430783.2,811430.11,2457025.22,405715.05,0,0,2,0.2901,0.5683,Chưa rõ,0.15,4,7,1.1784,1,0,8.75,4.1,0,1056433.04,6030263.41,Regular
cust_85735702bbac,2025-01-14,retail,female,web,28,4,1,32,1,1,6,357529.36,561936.95,2269050.18,561936.95,1,0,0,0.3116,0.2948,Chưa rõ,0.2763,2,2,0.5016,0,0,10.66,4.49,0,1108964.37,6022207.33,Regular
cust_c8722c1781b2,2025-02-07,vip,female,web,40,6,0,37,2,4,11,1230899.8,2791736.76,8815682.85,697934.19,4,0,0,0.3572,0.5578,Chưa rõ,0.669,1,9,0.0,0,0,30.34,4.11,0,3825706.05,15790115.57,Regular
cust_b6be9cde692c,2025-11-18,retail,female,store,33,2,2,69,2,4,7,1683553.06,2701292.86,7193034.77,675323.21,0,4,0,0.358,0.6655,Chưa rõ,0.2026,4,14,1.1054,0,0,18.69,2.75,1,1773758.04,10845086.34,At-risk Dormant
cust_7092043b0774,2025-12-11,retail,male,web,21,3,3,25,1,2,5,135896.96,463864.32,1851396.95,231932.16,1,1,0,0.4044,0.9842,Chưa rõ,0.2759,3,4,0.7955,1,0,11.05,4.07,0,1011685.45,4974299.62,Regular
cust_f3704823b342,2025-10-22,retail,female,web,19,2,0,12,0,1,2,70653.44,152966.74,1009818.66,152966.74,1,0,0,0.3202,0.6619,Chưa rõ,0.3646,2,2,0.4404,0,0,23.85,3.63,0,236501.0,1754748.36,New / One-time
cust_692ec294e181,2025-11-19,wholesale,female,web,30,2,0,78,1,3,6,976577.03,3131927.99,7086968.45,1043976.0,3,0,0,0.3727,0.5059,Chưa rõ,0.6174,2,5,0.2652,0,0,12.31,3.51,1,1468121.45,9354146.59,At-risk Dormant
cust_68fb2c45fa6f,2025-08-10,retail,male,store,19,2,1,99,1,3,5,253659.1,638647.52,3223806.85,212882.51,0,3,0,0.3097,0.2608,Chưa rõ,0.6275,3,9,0.4093,2,1,53.47,3.09,1,394930.42,2293560.44,At-risk Dormant
cust_6eba7bba2e86,2025-10-09,vip,female,store,21,3,2,1,1,2,5,2166832.13,6858466.62,17378871.71,3429233.31,0,1,1,0.356,0.9992,Chưa rõ,0.2672,4,6,1.0159,1,1,10.71,3.1,0,11710478.58,30165583.88,Regular
cust_bf3bb4a34e0a,2025-05-22,retail,male,web,13,2,0,106,0,2,6,90631.75,268229.9,2029078.44,134114.95,2,0,0,0.3304,0.4825,Chưa rõ,0.4121,3,7,0.6459,0,0,15.59,3.18,1,235435.82,1131883.05,At-risk Dormant
cust_c557f4110f6d,2025-07-05,retail,male,web,33,2,1,1,1,3,9,275821.92,802870.02,3258733.19,267623.34,3,0,0,0.3462,0.3643,Chưa rõ,0.4959,2,11,0.3494,2,0,4.45,3.91,0,1510710.27,3452609.27,Regular
cust_af0b7e2bd247,2025-06-12,retail,female,web,6,1,1,120,0,1,6,165322.67,415381.69,1481286.88,415381.69,1,0,0,0.3005,0.8636,Chưa rõ,0.2175,3,2,0.8597,1,0,71.95,3.15,1,398641.26,1661097.17,At-risk Dormant
cust_1cb259a91d3b,2025-12-12,retail,other,store,30,4,0,118,1,2,7,154383.48,515515.27,2316023.79,257757.63,1,1,0,0.2688,0.3068,Chưa rõ,0.7518,3,8,0.2727,0,0,26.35,3.2,1,417580.68,1297995.37,At-risk Dormant
cust_a259f0dabd60,2025-11-08,retail,other,web,26,4,0,61,0,1,3,213517.59,536872.31,2735663.13,536872.31,1,0,0,0.3431,0.856,Chưa rõ,0.3495,6,4,1.1656,1,0,17.1,4.76,0,556511.29,5457720.03,At-risk Dormant
cust_0e92a55ed73c,2026-01-03,retail,female,marketplace,28,3,1,20,1,2,6,472554.33,644831.5,1765870.84,322415.75,0,0,2,0.3426,0.7094,Chưa rõ,0.7325,4,8,0.3708,1,0,30.47,4.66,0,1153776.95,3748586.66,Regular
cust_5c57e913aa3c,2025-05-02,retail,female,web,26,2,0,8,1,2,6,167058.94,251754.21,625493.73,125877.11,2,0,0,0.3215,0.552,Chưa rõ,0.7581,2,7,0.1677,0,0,29.12,4.69,0,297595.54,1642890.48,Regular
cust_339b58a60cc5,2025-12-18,retail,male,web,39,6,1,91,1,1,3,42314.13,90450.89,318012.36,90450.89,1,0,0,0.3507,0.3044,Chưa rõ,0.6178,3,2,0.4199,1,0,7.38,2.66,1,63217.3,290534.65,At-risk Dormant
cust_14cade3da13b,2025-12-25,retail,female,web,42,2,1,27,1,3,8,191108.32,645938.39,2682280.17,215312.8,3,0,0,0.3886,0.3275,Chưa rõ,0.6174,2,11,0.2652,3,1,42.16,3.62,0,748535.07,6867745.3,Regular
cust_1dc6e9d31626,2025-10-26,vip,female,web,21,1,1,32,1,3,8,96280.95,241943.28,2229686.5,80647.76,2,0,1,0.3329,0.8023,Chưa rõ,0.2815,3,6,0.7894,0,0,45.46,4.3,0,396653.54,5277362.5,Regular
cust_14b32607722f,2026-02-10,retail,male,web,32,5,1,18,1,1,2,90388.01,189450.03,881588.5,189450.03,1,0,0,0.3453,0.5044,Chưa rõ,0.2738,3,4,0.7978,0,0,13.82,4.54,0,382758.09,917293.5,New / One-time
cust_a4e71e0c076e,2025-05-07,wholesale,male,web,46,5,1,98,1,2,5,576668.81,1175144.17,4609145.39,587572.08,2,0,0,0.3222,0.7737,Chưa rõ,0.3261,2,4,0.4671,2,0,61.67,2.98,1,959095.47,6877949.44,At-risk Dormant
cust_6223fc16225a,2025-12-26,vip,female,web,38,4,1,69,1,1,6,10144.56,34847.08,210795.8,34847.08,1,0,0,0.3364,0.2802,Chưa rõ,0.265,2,2,0.5094,1,0,19.36,2.75,1,31510.46,183190.03,At-risk Dormant
cust_a05f6d8b6a9f,2025-05-18,retail,female,web,26,2,1,111,1,2,4,120995.28,400081.19,3744643.58,200040.6,2,0,0,0.3729,0.3809,Chưa rõ,0.557,4,8,0.6142,1,1,17.62,3.06,1,276251.17,2500145.56,At-risk Dormant
cust_4e4affd7929a,2025-06-19,retail,female,web,24,2,0,35,1,2,5,45854.51,69586.15,214275.0,34793.07,1,1,0,0.3498,0.5539,Chưa rõ,0.5744,4,5,0.5901,2,1,12.25,3.88,0,138679.31,560833.83,Regular
cust_0cb1c769127a,2025-12-18,vip,female,web,22,2,1,19,1,3,6,38461.47,94937.09,444674.52,31645.7,3,0,0,0.3154,0.4167,Chưa rõ,0.5815,3,5,0.4598,0,0,50.15,4.37,0,163782.16,488438.46,Regular
cust_ccca67cafc78,2025-11-02,wholesale,female,web,37,5,0,24,2,3,7,348786.53,507493.77,1292716.98,169164.59,3,0,0,0.3959,0.3672,Chưa rõ,0.7811,5,11,0.3523,1,0,10.06,4.87,0,1093815.79,2632154.23,Regular
cust_f1d18cd072e0,2026-01-17,retail,female,web,13,1,2,39,1,3,7,364370.21,647592.49,1621451.65,215864.16,2,1,0,0.2905,0.7298,Chưa rõ,0.3477,7,11,1.2694,0,0,8.32,4.58,0,1268641.34,3723478.21,Regular
cust_6a029bd46151,2025-07-24,retail,female,web,28,2,1,12,1,2,5,114181.58,400020.8,926628.38,200010.4,2,0,0,0.3305,0.5211,Chưa rõ,0.4788,3,8,0.5726,0,0,2.48,4.77,0,857616.17,2262680.92,Regular
cust_e05e9da2d3a6,2026-02-12,retail,female,store,24,2,1,14,1,2,8,296622.23,692548.65,1845507.21,346274.33,0,2,0,0.3486,0.7129,Chưa rõ,0.4606,3,8,0.5926,1,0,9.62,4.1,0,641571.82,2942645.19,Regular
