customer_id,snapshot_date,skin_type,preferred_category,primary_purchase_channel,device_type,traffic_source,price_sensitivity_score,customer_tenure_days,promotion_period_flag,orders_30d,orders_90d,spend_30d,spend_90d,avg_order_value_90d,sessions_30d,product_views_30d,add_to_cart_30d,checkout_start_30d,days_since_last_purchase,orders_30d_vs_prev30d,spend_30d_vs_prev30d,cart_to_checkout_rate,checkout_to_purchase_rate,discount_dependency,email_open_rate_30d,push_open_rate_30d,coupon_used_90d,returns_90d,refund_ratio_90d,complaints_90d,avg_rating_90d,engagement_score_30d,experience_risk_score,will_churn_90d
C01229,2025-07-12,sensitive,skincare,marketplace,desktop,email,0.169,963,0,1,3,276890,1356624,452208,19,71,9,3,2,1.0,-0.277,0.333,0.333,0.268,0.536,0.301,1,0,0.0,0,4.3,10.27,0.0,0
C03921,2025-02-17,sensitive,fragrance,store,tablet,google_ads,0.225,778,0,1,2,686149,1702184,851092,22,68,7,1,27,1.0,0.015,0.143,1.0,0.302,0.591,0.337,0,0,0.0,0,3.5,11.26,0.0,0
C01529,2025-05-06,dry,haircare,social,desktop,organic,0.289,611,1,0,0,0,0,0,7,43,2,0,69,0.0,-1.0,0.0,0.0,0.333,0.153,0.217,0,0,0.0,0,4.1,4.21,0.0,1
C00440,2025-03-31,combination,haircare,online,mobile,email,0.196,1100,0,0,0,0,0,0,18,51,4,2,109,0.0,-1.0,0.5,0.0,0.278,0.301,0.334,0,0,0.0,0,4.6,8.97,0.0,1
C00029,2025-06-05,normal,skincare,online,desktop,organic,0.163,857,1,1,2,347110,695792,347896,20,50,8,1,17,1.0,0.662,0.125,1.0,0.258,0.429,0.498,0,1,0.5,0,4.6,9.98,0.3,0
C00597,2025-12-23,dry,makeup,online,tablet,email,0.395,315,0,0,0,0,0,0,5,24,2,1,87,-0.5,0.0,0.5,0.0,0.441,0.0,0.099,0,0,0.0,0,4.6,2.84,0.0,1
C00028,2025-10-15,dry,bodycare,online,mobile,referral,0.398,644,1,0,0,0,0,0,4,30,3,0,80,-0.5,-1.0,0.0,0.0,0.448,0.139,0.1,1,0,0.0,0,4.2,2.68,0.0,0
C00798,2025-05-31,combination,skincare,social,tablet,organic,0.559,451,0,0,0,0,0,0,6,36,5,1,120,0.0,0.0,0.2,0.0,0.462,0.153,0.232,1,0,0.0,0,4.4,3.78,0.0,0
C01424,2025-10-30,normal,skincare,store,mobile,organic,0.238,781,0,0,1,0,318069,318069,7,56,6,2,37,-0.5,0.0,0.333,0.0,0.259,0.403,0.249,1,0,0.0,0,4.6,4.84,0.0,0
C00680,2025-05-04,sensitive,sun_care,marketplace,desktop,tiktok,0.539,515,0,0,0,0,0,0,4,23,2,1,111,0.0,0.0,0.5,0.0,0.397,0.15,0.029,0,0,0.0,0,4.8,2.41,0.0,0
C04294,2025-03-30,sensitive,bodycare,online,mobile,facebook,0.12,977,1,1,1,156646,250280,250280,12,47,7,2,64,0.0,156646.0,0.286,0.5,0.213,0.523,0.427,0,0,0.0,0,4.9,6.63,0.0,0
C01349,2025-07-31,dry,skincare,store,desktop,email,0.423,779,0,3,3,1151269,1388542,462847,10,39,5,4,0,0.0,0.02,0.8,0.75,0.43,0.524,0.521,0,0,0.0,0,5.0,5.47,0.0,0
C01437,2025-07-12,sensitive,fragrance,online,mobile,organic,0.672,581,0,0,0,0,0,0,6,27,0,0,139,0.0,-1.0,0.0,0.0,0.539,0.094,0.228,0,0,0.0,0,4.4,3.21,0.0,1
C03841,2025-01-11,dry,sun_care,online,mobile,facebook,0.811,417,0,0,3,0,898203,299401,8,32,5,1,29,-0.5,-1.0,0.2,0.0,0.563,0.134,0.192,2,0,0.0,0,4.4,4.46,0.0,1
C03759,2025-12-15,dry,bodycare,store,mobile,organic,0.272,1040,0,0,1,0,190115,190115,13,44,5,3,92,-0.667,0.0,0.6,0.0,0.285,0.73,0.406,0,0,0.0,0,4.0,6.82,0.0,0
C00031,2025-04-11,combination,fragrance,online,desktop,organic,0.242,922,1,1,3,884806,2528070,842690,15,45,3,1,0,-0.5,-0.216,0.333,1.0,0.336,0.383,0.354,0,0,0.0,0,4.7,7.53,0.0,0
C02861,2025-11-28,combination,bodycare,online,mobile,organic,0.118,712,0,1,1,258070,273086,273086,16,57,10,5,46,0.0,1.481,0.5,0.2,0.284,0.342,0.391,1,0,0.0,1,2.8,8.71,0.4,1
C01016,2025-05-25,sensitive,fragrance,online,mobile,referral,0.273,654,0,0,0,0,0,0,16,42,1,1,110,-0.667,0.0,1.0,0.0,0.352,0.235,0.202,0,0,0.0,0,5.0,7.72,0.0,1
C02652,2025-01-06,combination,sun_care,online,desktop,tiktok,0.136,534,0,3,3,522700,695910,231970,26,70,13,8,0,0.0,-0.347,0.615,0.375,0.279,0.45,0.579,0,0,0.0,0,4.2,13.28,0.0,0
C01813,2025-07-06,sensitive,haircare,online,desktop,facebook,0.282,1015,1,0,0,0,0,0,5,29,1,0,106,-0.667,0.0,0.0,0.0,0.273,0.318,0.284,0,0,0.0,0,3.9,2.93,0.0,1
C00415,2025-03-31,dry,sun_care,social,desktop,facebook,0.264,671,0,0,1,0,288700,288700,17,70,6,1,55,0.0,-1.0,0.167,0.0,0.364,0.562,0.566,1,0,0.0,0,4.6,9.26,0.0,0
C03852,2025-01-23,sensitive,bodycare,online,desktop,referral,0.519,960,1,1,1,115478,250829,250829,9,51,5,1,78,1.0,115478.0,0.2,1.0,0.45,0.409,0.456,0,1,1.0,0,2.9,5.43,0.6,0
C04450,2025-10-04,sensitive,sun_care,online,desktop,google_ads,0.235,885,0,4,5,786627,1187257,237451,16,49,12,5,0,0.25,-0.009,0.417,0.8,0.354,0.385,0.393,2,0,0.0,0,4.4,8.59,0.0,0
C04150,2025-05-16,normal,skincare,online,mobile,email,0.513,1237,0,0,1,0,527563,527563,11,56,5,1,57,0.0,-1.0,0.2,0.0,0.484,0.399,0.467,0,0,0.0,0,4.6,6.38,0.0,1
C00875,2025-09-06,combination,fragrance,store,mobile,facebook,0.292,680,0,0,0,0,0,0,14,62,1,0,105,-0.667,-1.0,0.0,0.0,0.358,0.19,0.43,1,0,0.0,0,4.8,7.52,0.0,0
C01323,2025-07-30,normal,haircare,store,mobile,facebook,0.235,786,0,0,0,0,0,0,17,54,6,2,90,-0.5,-1.0,0.333,0.0,0.306,0.329,0.404,0,0,0.0,0,4.8,8.78,0.0,1
C03664,2025-10-21,normal,makeup,online,mobile,google_ads,0.269,729,1,1,1,154562,284027,284027,13,37,2,1,79,-0.5,1.293,0.5,1.0,0.314,0.283,0.231,0,0,0.0,0,4.8,6.43,0.0,0
C03124,2025-03-08,dry,sun_care,social,tablet,email,0.205,483,1,0,0,0,0,0,11,43,3,0,101,-0.667,-1.0,0.0,0.0,0.248,0.188,0.177,1,0,0.0,0,3.8,5.87,0.0,1
C00974,2025-03-12,sensitive,bodycare,marketplace,mobile,email,0.272,592,0,0,0,0,0,0,2,28,3,1,121,0.0,0.0,0.333,0.0,0.372,0.33,0.287,0,0,0.0,0,3.9,1.82,0.0,0
C01412,2025-08-28,sensitive,fragrance,marketplace,mobile,email,0.147,824,1,0,2,0,1540727,770363,5,24,2,1,37,0.0,0.0,0.5,0.0,0.315,0.123,0.247,1,0,0.0,0,4.2,2.84,0.0,0
C02379,2025-04-20,sensitive,haircare,online,mobile,organic,0.638,529,1,0,1,0,272311,272311,16,49,4,0,66,-0.667,-1.0,0.0,0.0,0.538,0.25,0.351,1,0,0.0,0,3.9,8.11,0.0,0
C02501,2025-10-22,sensitive,haircare,online,mobile,organic,0.209,267,1,0,1,0,200331,200331,6,33,5,2,98,-0.667,-1.0,0.4,0.0,0.327,0.448,0.242,0,0,0.0,0,4.4,3.69,0.0,1
C02126,2025-09-12,combination,skincare,marketplace,desktop,referral,0.357,1086,1,1,2,488613,1004266,502133,6,42,6,1,22,-0.333,-0.208,0.167,1.0,0.344,0.59,0.427,1,0,0.0,0,4.2,4.02,0.0,0
