date,daily_revenue_order,daily_revenue_line,weekday,month,year,is_weekend,is_holiday_window,season_autumn,season_spring,season_summer,season_winter,daily_revenue_order_lag_1,daily_revenue_order_lag_7,daily_revenue_order_lag_14,daily_revenue_order_roll_mean_7,daily_revenue_order_roll_mean_28,daily_revenue_line_lag_1,daily_revenue_line_lag_7,daily_revenue_line_lag_14,daily_revenue_line_roll_mean_7,daily_revenue_line_roll_mean_28
2019-01-01,17255409.22,17255409.22,1,1,2019,0,1,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,12031428.36,12031428.36,2,1,2019,0,1,False,False,False,True,17255409.22,0.0,0.0,0.0,0.0,17255409.22,0.0,0.0,0.0,0.0
2019-01-03,16368670.67,16368670.67,3,1,2019,0,1,False,False,False,True,12031428.36,0.0,0.0,0.0,0.0,12031428.36,0.0,0.0,0.0,0.0
2019-01-04,15753964.33,15753964.33,4,1,2019,0,1,False,False,False,True,16368670.67,0.0,0.0,0.0,0.0,16368670.67,0.0,0.0,0.0,0.0
2019-01-05,9337988.87,9337988.870000001,5,1,2019,1,0,False,False,False,True,15753964.33,0.0,0.0,0.0,0.0,15753964.33,0.0,0.0,0.0,0.0
2019-01-06,17246602.18,17246602.18,6,1,2019,1,0,False,False,False,True,9337988.87,0.0,0.0,0.0,0.0,9337988.870000001,0.0,0.0,0.0,0.0
2019-01-07,11790752.59,11790752.59,0,1,2019,0,0,False,False,False,True,17246602.18,0.0,0.0,0.0,0.0,17246602.18,0.0,0.0,0.0,0.0
2019-01-08,9925856.69,9925856.69,1,1,2019,0,0,False,False,False,True,11790752.59,17255409.22,0.0,14254973.745714286,0.0,11790752.59,17255409.22,0.0,14254973.745714286,0.0
2019-01-09,7381094.96,7381094.96,2,1,2019,0,0,False,False,False,True,9925856.69,12031428.36,0.0,13207894.812857142,0.0,9925856.69,12031428.36,0.0,13207894.812857142,0.0
2019-01-10,9582687.63,9582687.63,3,1,2019,0,0,False,False,False,True,7381094.96,16368670.67,0.0,12543561.469999999,0.0,7381094.96,16368670.67,0.0,12543561.47,0.0
2019-01-11,9740114.76,9740114.76,4,1,2019,0,0,False,False,False,True,9582687.63,15753964.33,0.0,11574135.32142857,0.0,9582687.63,15753964.33,0.0,11574135.32142857,0.0
2019-01-12,20977569.43,20977569.43,5,1,2019,1,0,False,False,False,True,9740114.76,9337988.87,0.0,10715013.954285713,0.0,9740114.76,9337988.870000001,0.0,10715013.954285715,0.0
2019-01-13,14308568.6,14308568.6,6,1,2019,1,0,False,False,False,True,20977569.43,17246602.18,0.0,12377811.177142859,0.0,20977569.43,17246602.18,0.0,12377811.177142857,0.0
2019-01-14,14787225.41,14787225.41,0,1,2019,0,0,False,False,False,True,14308568.6,11790752.59,0.0,11958092.094285714,0.0,14308568.6,11790752.59,0.0,11958092.094285714,0.0
2019-01-15,10610861.89,10610861.89,1,1,2019,0,0,False,False,False,True,14787225.41,9925856.69,17255409.22,12386159.64,0.0,14787225.41,9925856.69,17255409.22,12386159.64,0.0
2019-01-16,9363284.88,9363284.88,2,1,2019,0,0,False,False,False,True,10610861.89,7381094.96,12031428.36,12484017.525714288,0.0,10610861.89,7381094.96,12031428.36,12484017.525714288,0.0
2019-01-17,10818656.58,10818656.58,3,1,2019,0,0,False,False,False,True,9363284.88,9582687.63,16368670.67,12767187.514285713,0.0,9363284.88,9582687.63,16368670.67,12767187.514285713,0.0
2019-01-18,5998762.54,5998762.54,4,1,2019,0,0,False,False,False,True,10818656.58,9740114.76,15753964.33,12943754.507142859,0.0,10818656.58,9740114.76,15753964.33,12943754.507142857,0.0
2019-01-19,15079508.18,15079508.18,5,1,2019,1,0,False,False,False,True,5998762.54,20977569.43,9337988.87,12409275.618571429,0.0,5998762.54,20977569.43,9337988.870000001,12409275.618571429,0.0
2019-01-20,9923120.84,9923120.84,6,1,2019,1,0,False,False,False,True,15079508.18,14308568.6,17246602.18,11566695.44,0.0,15079508.18,14308568.6,17246602.18,11566695.44,0.0
2019-01-21,10474379.49,10474379.49,0,1,2019,0,0,False,False,False,True,9923120.84,14787225.41,11790752.59,10940202.902857142,0.0,9923120.84,14787225.41,11790752.59,10940202.902857142,0.0
2019-01-22,8912613.15,8912613.15,1,1,2019,0,0,False,False,False,True,10474379.49,10610861.89,9925856.69,10324082.057142857,0.0,10474379.49,10610861.89,9925856.69,10324082.057142857,0.0
2019-01-23,17193794.7,17193794.7,2,1,2019,0,0,False,False,False,True,8912613.15,9363284.88,7381094.96,10081475.094285714,0.0,8912613.15,9363284.88,7381094.96,10081475.094285714,0.0
2019-01-24,14334648.21,14334648.21,3,1,2019,0,0,False,False,False,True,17193794.7,10818656.58,9582687.63,11200119.354285715,0.0,17193794.7,10818656.58,9582687.63,11200119.354285715,0.0
