customer_id,first_purchase_date,acquisition_channel,campaign_type,acquisition_cost,recency,frequency_90d,monetary_90d,avg_order_value,product_diversity,return_rate,email_open_rate,support_ticket_count,CLV_target,money_unit_note
C00001,2025-05-10,Google,Prospecting,21.49,83,2,1621862.27,810931.14,1,0.0,0.5,0,6012023.55,same unit as product_data_base.price_current
C00002,2025-11-10,Meta,Prospecting,13.73,36,1,934034.62,934034.62,1,0.0,0.25,1,1907990.95,same unit as product_data_base.price_current
C00003,2023-05-02,Meta,Prospecting,15.21,900,6,1319464.03,219910.67,1,0.0,0.24,0,791678.42,same unit as product_data_base.price_current
C00004,2024-04-11,Google,Prospecting,11.83,614,1,671725.86,671725.86,1,0.0,0.57,0,403035.52,same unit as product_data_base.price_current
C00005,2023-11-27,Email,Retargeting,2.32,663,6,1902859.09,317143.18,1,0.0,0.49,0,1141715.45,same unit as product_data_base.price_current
C00006,2023-03-29,Direct,Organic,0.0,900,2,323275.49,161637.75,1,0.1,0.43,0,193965.3,same unit as product_data_base.price_current
C00007,2025-05-21,Google,Prospecting,14.59,128,2,432433.22,216216.61,1,0.0,0.29,0,947332.89,same unit as product_data_base.price_current
C00008,2023-05-11,Affiliate,Prospecting,12.88,847,8,3343370.47,417921.31,1,0.0,0.42,1,2006022.28,same unit as product_data_base.price_current
C00009,2025-02-08,Affiliate,Prospecting,5.97,311,1,177633.43,177633.43,1,0.09,0.12,0,106580.06,same unit as product_data_base.price_current
C00010,2023-12-10,Direct,Organic,0.0,737,1,160055.24,160055.24,1,0.0,0.33,0,96033.15,same unit as product_data_base.price_current
C00011,2025-03-16,Google,Prospecting,22.85,275,1,284352.4,284352.4,1,0.28,0.2,0,170611.44,same unit as product_data_base.price_current
C00012,2024-01-21,Meta,Prospecting,24.84,695,1,210818.54,210818.54,1,0.0,0.6,0,126491.12,same unit as product_data_base.price_current
C00013,2025-08-13,Meta,Retargeting,9.57,29,3,1393916.05,464638.68,1,0.18,0.27,0,4587840.21,same unit as product_data_base.price_current
C00014,2023-10-04,Email,Retargeting,1.08,655,5,2546041.13,509208.23,1,0.0,0.73,0,1527624.68,same unit as product_data_base.price_current
C00015,2024-04-04,Google,Prospecting,9.02,621,1,552982.85,552982.85,1,0.49,0.23,1,331789.71,same unit as product_data_base.price_current
C00016,2023-01-22,Meta,Prospecting,15.72,863,2,1692476.13,846238.06,1,0.28,0.23,0,1015485.68,same unit as product_data_base.price_current
C00017,2023-09-10,Google,Prospecting,16.43,828,1,64365.64,64365.64,1,0.5,0.47,1,38619.39,same unit as product_data_base.price_current
C00018,2025-01-17,Meta,Prospecting,16.09,150,4,799585.26,199896.31,1,0.0,0.25,1,594081.52,same unit as product_data_base.price_current
C00019,2025-05-06,Email,Retargeting,2.76,77,5,3446919.9,689383.98,1,0.0,0.49,1,12434254.94,same unit as product_data_base.price_current
C00020,2024-04-19,Meta,Prospecting,13.52,606,1,423325.3,423325.3,1,0.0,0.52,0,253995.18,same unit as product_data_base.price_current
C00021,2024-05-25,Google,Retargeting,4.8,415,6,2781209.13,463534.86,1,0.3,0.17,0,1668725.48,same unit as product_data_base.price_current
C00022,2024-11-30,Direct,Organic,0.0,186,6,4386731.98,731122.0,1,0.0,0.43,0,4333773.73,same unit as product_data_base.price_current
C00023,2025-09-02,Meta,Prospecting,14.24,9,7,2790847.56,398692.51,1,0.0,0.18,0,17294861.97,same unit as product_data_base.price_current
C00024,2023-07-09,Google,Prospecting,26.64,672,12,6969298.14,580774.84,1,0.0,0.33,1,4181578.88,same unit as product_data_base.price_current
C00025,2025-08-15,Direct,Organic,0.0,64,4,2297479.87,574369.97,1,0.0,0.52,0,8629995.71,same unit as product_data_base.price_current
C00026,2024-11-17,Meta,Prospecting,13.21,306,5,1691152.26,338230.45,1,0.0,0.39,0,1014691.36,same unit as product_data_base.price_current
C00027,2025-08-15,Meta,Prospecting,25.91,123,1,462064.76,462064.76,1,0.12,0.53,0,902231.74,same unit as product_data_base.price_current
C00028,2024-07-16,Meta,Prospecting,18.31,518,1,284241.71,284241.71,1,0.17,0.53,0,170545.03,same unit as product_data_base.price_current
C00029,2025-04-11,Google,Prospecting,21.53,249,1,240707.85,240707.85,1,0.21,0.23,0,144424.71,same unit as product_data_base.price_current
C00030,2024-10-08,Google,Prospecting,12.18,312,4,1810272.39,452568.1,1,0.0,0.38,0,1086163.43,same unit as product_data_base.price_current
C00031,2023-01-21,Meta,Prospecting,12.25,900,1,166830.23,166830.23,1,0.19,0.32,0,100098.14,same unit as product_data_base.price_current
C00032,2025-04-20,Google,Prospecting,19.66,119,4,2631161.1,657790.28,1,0.14,0.36,1,4491137.63,same unit as product_data_base.price_current
C00033,2023-06-16,Meta,Retargeting,5.91,846,2,615830.48,307915.24,1,0.0,0.24,0,369498.29,same unit as product_data_base.price_current
C00034,2024-01-23,Direct,Organic,0.0,693,1,1993643.3,1993643.3,1,0.5,0.52,0,1196185.98,same unit as product_data_base.price_current
C00035,2024-08-23,Meta,Prospecting,20.57,380,19,13015714.64,685037.61,1,0.0,0.28,3,7809428.79,same unit as product_data_base.price_current
C00036,2023-11-12,Direct,Organic,0.0,765,1,460306.78,460306.78,1,0.0,0.15,0,276184.07,same unit as product_data_base.price_current
C00037,2023-01-14,Google,Retargeting,7.75,900,1,558751.31,558751.31,1,0.0,0.32,0,335250.78,same unit as product_data_base.price_current
C00038,2023-08-30,Email,Retargeting,1.33,653,12,8559888.9,713324.08,1,0.0,0.55,0,5135933.34,same unit as product_data_base.price_current
C00039,2025-02-15,Google,Prospecting,18.47,304,1,242706.98,242706.98,1,0.0,0.25,0,145624.19,same unit as product_data_base.price_current
C00040,2024-07-18,Google,Prospecting,13.75,427,3,1293496.64,431165.55,1,0.0,0.17,0,776097.99,same unit as product_data_base.price_current
C00041,2025-06-16,Google,Prospecting,21.08,183,1,1211103.15,1211103.15,1,0.2,0.43,0,755103.79,same unit as product_data_base.price_current
C00042,2023-04-02,Direct,Organic,0.0,900,3,889153.93,296384.64,1,0.0,0.46,0,533492.36,same unit as product_data_base.price_current
C00043,2025-08-13,Google,Retargeting,5.35,39,3,1062157.92,354052.64,1,0.0,0.24,0,8285580.63,same unit as product_data_base.price_current
C00044,2024-05-23,Google,Prospecting,29.29,572,1,1355081.16,1355081.16,1,0.18,0.33,0,813048.69,same unit as product_data_base.price_current
C00045,2025-02-14,Google,Prospecting,5.93,305,1,221760.44,221760.44,1,0.14,0.16,0,133056.27,same unit as product_data_base.price_current
