customer_id,first_purchase_date,acquisition_channel,campaign_type,acquisition_cost,recency,frequency_90d,monetary_90d,avg_order_value,product_diversity,return_rate,email_open_rate,support_ticket_count,CLV_target,money_unit_note
C00001,2025-05-10,Google,Prospecting,21.49,83,2,1621862,810931,1,0.0,0.5,0,6012024,same unit as product_data_base.price_current
C00002,2025-11-10,Meta,Prospecting,13.73,36,1,934035,934035,1,0.0,0.25,1,1907991,same unit as product_data_base.price_current
C00003,2023-05-02,Meta,Prospecting,15.21,900,6,1319464,219911,1,0.0,0.24,0,791678,same unit as product_data_base.price_current
C00004,2024-04-11,Google,Prospecting,11.83,614,1,671726,671726,1,0.0,0.57,0,403036,same unit as product_data_base.price_current
C00005,2023-11-27,Email,Retargeting,2.32,663,6,1902859,317143,1,0.0,0.49,0,1141715,same unit as product_data_base.price_current
C00006,2023-03-29,Direct,Organic,0.0,900,2,323275,161638,1,0.1,0.43,0,193965,same unit as product_data_base.price_current
C00007,2025-05-21,Google,Prospecting,14.59,128,2,432433,216217,1,0.0,0.29,0,947333,same unit as product_data_base.price_current
C00008,2023-05-11,Affiliate,Prospecting,12.88,847,8,3343370,417921,1,0.0,0.42,1,2006022,same unit as product_data_base.price_current
C00009,2025-02-08,Affiliate,Prospecting,5.97,311,1,177633,177633,1,0.09,0.12,0,106580,same unit as product_data_base.price_current
C00010,2023-12-10,Direct,Organic,0.0,737,1,160055,160055,1,0.0,0.33,0,96033,same unit as product_data_base.price_current
C00011,2025-03-16,Google,Prospecting,22.85,275,1,284352,284352,1,0.28,0.2,0,170611,same unit as product_data_base.price_current
C00012,2024-01-21,Meta,Prospecting,24.84,695,1,210819,210819,1,0.0,0.6,0,126491,same unit as product_data_base.price_current
C00013,2025-08-13,Meta,Retargeting,9.57,29,3,1393916,464639,1,0.18,0.27,0,4587840,same unit as product_data_base.price_current
C00014,2023-10-04,Email,Retargeting,1.08,655,5,2546041,509208,1,0.0,0.73,0,1527625,same unit as product_data_base.price_current
C00015,2024-04-04,Google,Prospecting,9.02,621,1,552983,552983,1,0.49,0.23,1,331790,same unit as product_data_base.price_current
C00016,2023-01-22,Meta,Prospecting,15.72,863,2,1692476,846238,1,0.28,0.23,0,1015486,same unit as product_data_base.price_current
C00017,2023-09-10,Google,Prospecting,16.43,828,1,64366,64366,1,0.5,0.47,1,38619,same unit as product_data_base.price_current
C00018,2025-01-17,Meta,Prospecting,16.09,150,4,799585,199896,1,0.0,0.25,1,594082,same unit as product_data_base.price_current
C00019,2025-05-06,Email,Retargeting,2.76,77,5,3446920,689384,1,0.0,0.49,1,12434255,same unit as product_data_base.price_current
C00020,2024-04-19,Meta,Prospecting,13.52,606,1,423325,423325,1,0.0,0.52,0,253995,same unit as product_data_base.price_current
C00021,2024-05-25,Google,Retargeting,4.8,415,6,2781209,463535,1,0.3,0.17,0,1668725,same unit as product_data_base.price_current
C00022,2024-11-30,Direct,Organic,0.0,186,6,4386732,731122,1,0.0,0.43,0,4333774,same unit as product_data_base.price_current
C00023,2025-09-02,Meta,Prospecting,14.24,9,7,2790848,398693,1,0.0,0.18,0,17294862,same unit as product_data_base.price_current
C00024,2023-07-09,Google,Prospecting,26.64,672,12,6969298,580775,1,0.0,0.33,1,4181579,same unit as product_data_base.price_current
C00025,2025-08-15,Direct,Organic,0.0,64,4,2297480,574370,1,0.0,0.52,0,8629996,same unit as product_data_base.price_current
C00026,2024-11-17,Meta,Prospecting,13.21,306,5,1691152,338230,1,0.0,0.39,0,1014691,same unit as product_data_base.price_current
C00027,2025-08-15,Meta,Prospecting,25.91,123,1,462065,462065,1,0.12,0.53,0,902232,same unit as product_data_base.price_current
