lead_id,source,status_at_snapshot,tags,lead_score,priority,campaign_id,product_interest,assigned_to,created_at,days_since_created,total_interactions,last_interaction_type,base_prob,converted_final,revenue_30d
ld_extra_00651,FacebookAds,nurturing,"['vip', 'mua-lai']",39,high,,"Tinh Chất Dưỡng Môi Torriden Căng Mọng, Cấp Ẩm 11ml",user_09,2025-03-25T06:28:00Z,36,1,email,0.2671,0,0
ld_02042,Partner,qualified,['hot-lead'],73,urgent,,Son Dưỡng Môi Có Màu BareSoul 10g,user_17,2025-06-20T16:11:00Z,28,5,email,0.6384,1,236000
ld_08669,FacebookAds,contacted,['quan-tam-duong-da'],51,urgent,cmp_618,Son Kem Lì Cathy Doll #05 Like U Summer 3.5 g,,2025-02-10T15:54:00Z,65,0,,0.1408,0,0
ld_01115,Partner,nurturing,['vip'],90,high,,Son Tint Bóng Silkygirl 01 Papaya - Cam San Hô 3g,user_16,2025-05-04T18:42:00Z,32,5,email,0.652,1,129000
ld_extra_03903,LandingPage,nurturing,[],26,low,cmp_718,Son Tint Nookoi Căng Mọng Màu T13 Hồng Đào 3.8g,user_21,2025-12-10T05:53:00Z,13,2,call,0.1135,0,0
ld_extra_01964,TiktokAds,contacted,[],48,low,,Son Kem Lì Australis Mịn Môi Dreamy - Màu Hồng Sen 4g,user_05,2025-10-10T00:09:00Z,82,1,chat,0.0737,0,0
ld_extra_01073,Event,new,[],38,low,,"Tinh Chất Dưỡng Môi Torriden Căng Mọng, Cấp Ẩm 11ml",user_14,2025-03-04T09:13:00Z,22,1,call,0.0578,0,0
ld_03003,InBound,qualified,"['hot-lead', 'vip']",53,medium,cmp_791,[HSD 03/2026] Son Tint Black Rouge DL14 Maximal Brown - Nâu Gạch 4.1g,user_25,2025-11-12T20:04:00Z,78,4,email,0.5424,1,213000
ld_extra_09772,FacebookAds,contacted,['quan-tam-son'],42,high,cmp_835,Son Kem Maybelline 70 The A+ - Đỏ Cam 5ml,user_08,2025-08-16T01:39:00Z,88,3,chat,0.2081,0,0
ld_08116,Event,qualified,['quan-tam-duong-da'],57,low,cmp_672,Son Thỏi 3CE Mềm Môi 08 Hush Red - Đỏ Mâm Xôi 3.5g,user_01,2025-08-31T19:51:00Z,71,1,call,0.0656,0,0
ld_03526,InBound,nurturing,['hot-lead'],100,urgent,cmp_759,"Combo 2 Son Dưỡng LipIce Thỏ Bảy Màu Hương Trà Đào, Hồng Cam + Hương Choco Mint, Hồng Ửng Đỏ 2.4g",user_13,2025-10-20T19:47:00Z,73,5,call,0.66,1,276000
ld_07880,LandingPage,new,['quan-tam-duong-da'],53,medium,cmp_605,Son Thỏi Joocyee Mịn Lì Màu 121 Burnt Peach Wood 3.2g,user_14,2025-02-15T13:17:00Z,77,1,email,0.0624,0,0
ld_extra_06442,FacebookAds,contacted,"['hot-lead', 'vip']",63,low,cmp_373,Son Tint Black Rouge DL08 Apricot Nudism - Be Da 4.1g,user_26,2025-03-14T15:44:00Z,73,3,message,0.2751,0,0
ld_extra_06297,LandingPage,nurturing,['mua-lai'],62,medium,cmp_180,Son Dưỡng Menard Giàu Ẩm Bạc Hà 3.2g,user_06,2025-11-29T22:41:00Z,19,3,call,0.3641,0,0
ld_extra_02567,Website,new,['hot-lead'],53,low,,[HSD 03/2026] [Mini] Son Kem Lì Maybelline 80 Ruler 2.7ml,user_08,2025-10-02T16:47:00Z,6,2,message,0.1359,0,0
ld_05253,Partner,new,['quan-tam-duong-da'],32,medium,cmp_125,[HSD 07/2026] Son Tint Judydoll Căng Mọng - N05 Hồng Sung Sữa 2.4g,,2025-01-17T15:10:00Z,69,2,message,0.2956,0,0
ld_extra_09394,Partner,contacted,['hot-lead'],77,high,cmp_375,Son Dưỡng B.O.M 06 Pure Rose - Hồng Đào 4.5g,user_14,2025-01-05T14:28:00Z,47,2,email,0.4862,1,311000
ld_extra_06797,Website,qualified,['quan-tam-duong-da'],49,low,cmp_774,Son Dưỡng Có Màu Vaseline Hồng Cam Êm Dịu 3g,user_24,2025-07-15T09:26:00Z,68,2,email,0.1381,0,0
ld_08095,FacebookAds,contacted,[],58,medium,cmp_684,[HSD 03/2026] Son Bóng Black Rouge HW02 Casual Burnt - Cam Ánh Vàng 3.4g,user_08,2025-05-01T17:13:00Z,15,1,call,0.0664,0,0
