order_id,customer_id,order_date,order_value,num_items
O0000001,C00001,2025-05-27,1105000,4
O0000002,C00001,2025-07-15,864000,2
O0000003,C00002,2025-11-10,224000,2
O0000004,C00003,2023-05-05,249000,1
O0000005,C00003,2023-06-05,596000,2
O0000006,C00003,2023-06-11,584000,4
O0000007,C00003,2023-07-05,446000,2
O0000008,C00003,2023-07-10,118000,1
O0000009,C00003,2023-07-17,375000,3
O0000010,C00004,2024-04-11,420000,2
O0000011,C00005,2023-12-09,127000,1
O0000012,C00005,2023-12-14,261000,1
O0000013,C00005,2023-12-24,547000,3
O0000014,C00005,2024-01-04,384000,2
O0000015,C00005,2024-01-20,90000,1
O0000016,C00005,2024-02-05,1265000,5
O0000017,C00006,2023-06-02,563000,3
O0000018,C00006,2023-06-07,702000,4
O0000019,C00007,2025-06-08,198000,2
O0000020,C00007,2025-06-25,561000,2
O0000021,C00008,2023-05-14,365000,4
O0000022,C00008,2023-06-03,129000,1
O0000023,C00008,2023-06-05,911000,6
O0000024,C00008,2023-06-07,69000,1
O0000025,C00008,2023-07-07,189000,1
O0000026,C00008,2023-07-09,444000,3
O0000027,C00008,2023-07-28,210000,1
O0000028,C00008,2023-08-04,109000,1
O0000029,C00009,2025-02-08,1679000,5
O0000030,C00010,2023-12-10,1507000,3
O0000031,C00011,2025-03-16,1250000,2
O0000032,C00012,2024-01-21,266000,2
O0000033,C00013,2025-08-18,485000,3
O0000034,C00013,2025-09-17,125000,1
O0000035,C00013,2025-11-02,284000,2
O0000036,C00014,2023-10-23,248000,1
O0000037,C00014,2023-11-10,373000,3
O0000038,C00014,2023-12-01,1649000,5
O0000039,C00014,2023-12-04,175000,1
O0000040,C00014,2023-12-24,83000,2
O0000041,C00015,2024-04-04,355000,2
O0000042,C00016,2023-02-05,402000,3
O0000043,C00016,2023-03-19,212000,2
O0000044,C00017,2023-09-10,486000,3
O0000045,C00018,2025-02-03,286000,1
O0000046,C00018,2025-02-05,230000,1
O0000047,C00018,2025-03-24,141000,1
O0000048,C00018,2025-04-10,349000,4
O0000049,C00019,2025-05-08,261000,2
O0000050,C00019,2025-05-14,576000,3
O0000051,C00019,2025-06-01,1102000,6
O0000052,C00019,2025-06-14,552000,3
O0000053,C00019,2025-07-25,609000,4
O0000054,C00020,2024-04-19,154000,1
O0000055,C00021,2024-06-08,382000,2
O0000056,C00021,2024-06-14,522000,4
O0000057,C00021,2024-06-27,215000,1
O0000058,C00021,2024-07-23,284000,2
O0000059,C00021,2024-08-06,249000,1
O0000060,C00021,2024-08-18,960000,2
O0000061,C00022,2024-12-06,106000,1
O0000062,C00022,2024-12-06,458000,3
O0000063,C00022,2024-12-09,385000,3
O0000064,C00022,2025-01-01,670000,2
O0000065,C00022,2025-01-14,110000,1
O0000066,C00022,2025-02-06,139000,1
O0000067,C00023,2025-09-02,350000,4
O0000068,C00023,2025-09-07,482000,3
O0000069,C00023,2025-09-21,832000,4
O0000070,C00023,2025-09-26,600000,5
O0000071,C00023,2025-10-10,116000,1
O0000072,C00023,2025-11-13,86000,1
O0000073,C00023,2025-11-24,357000,2
O0000074,C00024,2023-07-10,648000,5
O0000075,C00024,2023-07-14,1451000,7
O0000076,C00024,2023-07-26,792000,4
O0000077,C00024,2023-07-29,1055000,5
O0000078,C00024,2023-07-31,704000,3
O0000079,C00024,2023-08-03,753000,3
O0000080,C00024,2023-08-06,538000,3
O0000081,C00024,2023-08-07,215000,1
O0000082,C00024,2023-08-11,144000,1
O0000083,C00024,2023-08-21,1260000,7
O0000084,C00024,2023-08-30,278000,1
O0000085,C00024,2023-10-03,634000,3
O0000086,C00025,2025-08-19,480000,3
O0000087,C00025,2025-09-13,1583000,4
O0000088,C00025,2025-09-26,189000,1
O0000089,C00025,2025-10-06,180000,2
O0000090,C00026,2024-12-05,765000,4
O0000091,C00026,2024-12-26,194000,2
O0000092,C00026,2024-12-31,249000,1
O0000093,C00026,2025-01-13,378000,2
O0000094,C00026,2025-02-11,49000,1
O0000095,C00027,2025-08-15,125000,1
O0000096,C00028,2024-07-16,1083000,5
O0000097,C00029,2025-04-11,152000,1
O0000098,C00030,2024-10-27,252000,3
O0000099,C00030,2024-11-14,56000,1
O0000100,C00030,2024-12-09,454000,4
O0000101,C00030,2024-12-12,613000,5
O0000102,C00031,2023-01-21,27000,1
O0000103,C00032,2025-05-05,249000,1
O0000104,C00032,2025-05-14,486000,5
O0000105,C00032,2025-06-02,777000,4
O0000106,C00032,2025-06-16,752000,5
O0000107,C00033,2023-08-06,189000,1
O0000108,C00033,2023-08-17,1931000,6
O0000109,C00034,2024-01-23,281000,3
O0000110,C00035,2024-08-30,569000,3
O0000111,C00035,2024-09-04,195000,1
O0000112,C00035,2024-09-06,625000,1
O0000113,C00035,2024-09-07,455000,3
O0000114,C00035,2024-09-09,118000,1
O0000115,C00035,2024-09-10,196000,2
O0000116,C00035,2024-09-11,90000,1
O0000117,C00035,2024-09-12,424000,3
O0000118,C00035,2024-09-15,159000,1
O0000119,C00035,2024-09-17,56000,1
O0000120,C00035,2024-09-19,66000,1
O0000121,C00035,2024-09-30,90000,1
O0000122,C00035,2024-10-06,852000,3
O0000123,C00035,2024-10-20,477000,2
O0000124,C00035,2024-10-22,88000,1
O0000125,C00035,2024-10-28,653000,3
O0000126,C00035,2024-10-30,362000,2
O0000127,C00035,2024-11-03,625000,1
O0000128,C00035,2024-11-10,1107000,6
O0000129,C00036,2023-11-12,108000,1
O0000130,C00037,2023-01-14,280000,2
O0000131,C00038,2023-09-07,268000,2
O0000132,C00038,2023-09-08,534000,2
O0000133,C00038,2023-09-13,616000,4
O0000134,C00038,2023-09-28,817000,3
O0000135,C00038,2023-10-04,958000,6
O0000136,C00038,2023-10-09,308000,3
O0000137,C00038,2023-10-20,1264000,8
O0000138,C00038,2023-10-26,371000,2
O0000139,C00038,2023-10-26,800000,4
O0000140,C00038,2023-11-04,419000,2
O0000141,C00038,2023-11-18,245000,1
O0000142,C00038,2023-11-27,247000,2
O0000143,C00039,2025-02-15,154000,2
O0000144,C00040,2024-09-04,116000,1
O0000145,C00040,2024-09-12,685000,5
O0000146,C00040,2024-10-04,526000,2
O0000147,C00041,2025-06-16,715000,2
O0000148,C00042,2023-04-19,961000,7
O0000149,C00042,2023-04-22,607000,4
O0000150,C00042,2023-04-24,263000,1
O0000151,C00043,2025-08-13,788000,4
O0000152,C00043,2025-08-24,99000,1
O0000153,C00043,2025-09-08,350000,2
O0000154,C00044,2024-05-23,674000,3
O0000155,C00045,2025-02-14,988000,4
O0000156,C00046,2023-02-04,236000,2
O0000157,C00047,2023-07-31,335000,2
O0000158,C00047,2023-08-06,174000,1
O0000159,C00047,2023-08-23,529000,4
O0000160,C00047,2023-09-12,543000,3
O0000161,C00047,2023-09-18,1749000,5
O0000162,C00047,2023-09-22,278000,1
O0000163,C00047,2023-09-27,505000,2
O0000164,C00047,2023-09-30,260000,2
O0000165,C00047,2023-10-16,1102000,8
O0000166,C00047,2023-10-17,164000,1
O0000167,C00048,2025-10-22,180000,2
O0000168,C00049,2025-11-10,215000,2
O0000169,C00049,2025-11-16,181000,1
O0000170,C00049,2025-11-22,230000,1
O0000171,C00049,2025-12-03,156000,2
O0000172,C00049,2025-12-11,56000,1
O0000173,C00049,2025-12-22,357000,2
O0000174,C00050,2024-07-30,842000,4
O0000175,C00050,2024-09-25,525000,3
O0000176,C00050,2024-10-12,722000,6
O0000177,C00051,2024-12-03,1044000,7
O0000178,C00052,2024-02-06,885000,7
O0000179,C00053,2024-12-30,90000,1
O0000180,C00054,2023-06-11,130000,1
O0000181,C00055,2023-07-21,50000,1
O0000182,C00056,2025-09-22,49000,1
O0000183,C00057,2023-09-27,127000,2
O0000184,C00058,2025-03-26,800000,6
O0000185,C00059,2024-03-31,228000,2
O0000186,C00060,2025-10-15,558000,3
O0000187,C00060,2025-10-19,116000,1
O0000188,C00060,2025-10-30,514000,2
O0000189,C00060,2025-11-22,419000,3
O0000190,C00060,2025-11-27,194000,2
O0000191,C00060,2025-12-02,436000,3
O0000192,C00060,2025-12-30,216000,2
O0000193,C00061,2023-10-23,1667000,8
O0000194,C00062,2024-12-20,1195000,8
O0000195,C00063,2023-12-04,744000,2
O0000196,C00064,2025-05-28,260000,2
O0000197,C00065,2025-03-02,638000,3
O0000198,C00066,2023-08-05,95000,1
O0000199,C00066,2023-09-05,159000,2
O0000200,C00066,2023-09-22,264000,2
O0000201,C00067,2025-02-02,433000,3
O0000202,C00068,2023-07-07,49000,1
O0000203,C00069,2024-02-03,56000,1
O0000204,C00069,2024-02-09,112000,1
O0000205,C00069,2024-02-13,443000,3
O0000206,C00069,2024-02-15,245000,1
O0000207,C00069,2024-02-21,194000,1
O0000208,C00069,2024-03-04,288000,2
O0000209,C00069,2024-03-24,404000,2
O0000210,C00069,2024-03-27,261000,1
O0000211,C00069,2024-03-27,416000,2
O0000212,C00069,2024-03-28,245000,1
O0000213,C00069,2024-04-07,49000,1
O0000214,C00069,2024-04-08,244000,2
O0000215,C00070,2024-05-31,886000,2
O0000216,C00070,2024-07-13,159000,1
O0000217,C00070,2024-07-22,474000,4
O0000218,C00071,2025-12-31,572000,3
O0000219,C00071,2026-01-23,1018000,6
O0000220,C00072,2023-03-09,125000,1
O0000221,C00072,2023-03-12,108000,1
O0000222,C00072,2023-03-25,388000,5
O0000223,C00073,2023-03-25,180000,2
O0000224,C00073,2023-03-30,147000,1
O0000225,C00073,2023-04-30,547000,2
O0000226,C00073,2023-05-22,129000,1
O0000227,C00073,2023-05-25,678000,4
O0000228,C00073,2023-05-27,478000,2
O0000229,C00074,2024-06-24,641000,4
O0000230,C00074,2024-08-18,132000,1
O0000231,C00074,2024-08-29,179000,2
O0000232,C00075,2024-10-09,65000,1
O0000233,C00076,2024-08-15,210000,1
O0000234,C00077,2024-03-24,760000,4
O0000235,C00077,2024-03-30,245000,1
O0000236,C00078,2024-02-23,490000,2
O0000237,C00078,2024-03-16,78000,1
O0000238,C00078,2024-04-05,118000,2
O0000239,C00078,2024-04-09,497000,3
O0000240,C00078,2024-04-14,770000,5
O0000241,C00078,2024-04-30,490000,2
O0000242,C00078,2024-05-04,68000,1
O0000243,C00078,2024-05-15,883000,5
O0000244,C00078,2024-05-22,198000,2
O0000245,C00079,2023-10-16,189000,2
O0000246,C00079,2023-10-26,99000,1
O0000247,C00079,2023-10-29,215000,1
O0000248,C00079,2023-11-05,775000,3
O0000249,C00079,2023-11-24,335000,1
O0000250,C00079,2023-11-25,297000,2
O0000251,C00079,2024-01-05,1100000,5
O0000252,C00080,2024-01-14,132000,1
O0000253,C00081,2023-08-19,526000,2
O0000254,C00082,2025-10-14,249000,1
O0000255,C00083,2023-02-22,351000,3
O0000256,C00083,2023-03-06,566000,4
O0000257,C00083,2023-03-25,837000,4
O0000258,C00084,2025-11-17,534000,5
O0000259,C00085,2023-05-15,267000,2
O0000260,C00086,2023-07-30,145000,2
O0000261,C00086,2023-07-31,819000,4
O0000262,C00086,2023-08-12,372000,3
O0000263,C00086,2023-09-01,506000,3
O0000264,C00086,2023-09-04,337000,4
O0000265,C00086,2023-09-11,617000,5
O0000266,C00086,2023-09-30,257000,1
O0000267,C00086,2023-10-08,188000,1
O0000268,C00087,2025-02-18,1427000,6
O0000269,C00088,2025-07-18,934000,4
O0000270,C00089,2025-12-05,530000,3
O0000271,C00089,2025-12-07,741000,4
O0000272,C00089,2026-01-26,180000,2
O0000273,C00090,2024-05-27,165000,2
O0000274,C00090,2024-07-13,1099000,3
O0000275,C00090,2024-07-24,789000,2
O0000276,C00090,2024-08-02,66000,1
O0000277,C00091,2024-02-26,282000,2
O0000278,C00091,2024-03-01,749000,4
O0000279,C00091,2024-03-11,384000,3
O0000280,C00092,2025-03-27,659000,6
O0000281,C00092,2025-03-30,764000,2
O0000282,C00092,2025-03-31,106000,1
O0000283,C00092,2025-04-03,194000,1
O0000284,C00092,2025-04-11,175000,1
O0000285,C00092,2025-04-11,854000,4
O0000286,C00092,2025-04-13,27000,1
O0000287,C00092,2025-04-19,527000,3
O0000288,C00092,2025-05-06,476000,3
O0000289,C00092,2025-05-07,180000,2
O0000290,C00092,2025-05-15,891000,5
O0000291,C00092,2025-05-21,453000,2
O0000292,C00092,2025-05-22,393000,3
O0000293,C00092,2025-06-06,130000,1
O0000294,C00093,2023-04-22,288000,2
O0000295,C00093,2023-06-12,489000,3
O0000296,C00093,2023-06-26,460000,3
O0000297,C00093,2023-06-29,490000,2
O0000298,C00094,2024-12-12,686000,5
O0000299,C00094,2024-12-22,141000,1
O0000300,C00094,2025-01-25,230000,1
O0000301,C00095,2024-12-28,68000,1
O0000302,C00095,2025-01-30,690000,3
O0000303,C00095,2025-02-09,257000,1
O0000304,C00095,2025-02-16,189000,1
O0000305,C00095,2025-03-03,215000,1
O0000306,C00095,2025-03-04,622000,2
O0000307,C00096,2025-09-01,532000,2
O0000308,C00096,2025-09-27,646000,4
O0000309,C00096,2025-10-07,460000,2
O0000310,C00096,2025-10-08,655000,4
O0000311,C00096,2025-10-30,154000,1
O0000312,C00097,2024-09-21,885000,6
O0000313,C00097,2024-09-22,147000,1
O0000314,C00097,2024-10-01,379000,3
O0000315,C00097,2024-10-02,618000,6
O0000316,C00097,2024-10-11,206000,2
O0000317,C00097,2024-10-18,432000,2
O0000318,C00097,2024-10-20,527000,2
O0000319,C00097,2024-11-01,298000,1
O0000320,C00097,2024-11-02,513000,2
O0000321,C00097,2024-11-06,685000,4
O0000322,C00097,2024-11-15,189000,2
O0000323,C00097,2024-11-19,357000,3
O0000324,C00097,2024-11-27,139000,1
O0000325,C00097,2024-11-29,1331000,6
O0000326,C00098,2024-10-04,451000,4
O0000327,C00099,2025-11-20,118000,1
O0000328,C00099,2025-12-05,490000,2
O0000329,C00099,2026-01-05,141000,1
O0000330,C00100,2024-05-17,258000,1
O0000331,C00101,2025-02-05,180000,2
O0000332,C00102,2024-02-09,811000,7
O0000333,C00102,2024-02-20,650000,4
O0000334,C00102,2024-02-28,239000,1
O0000335,C00102,2024-03-04,220000,3
O0000336,C00103,2025-05-20,359000,3
O0000337,C00104,2025-03-05,249000,1
O0000338,C00105,2024-02-09,597000,3
O0000339,C00105,2024-04-03,100000,2
O0000340,C00106,2023-09-19,389000,2
O0000341,C00106,2023-09-27,712000,3
O0000342,C00106,2023-10-10,1156000,5
O0000343,C00106,2023-10-14,282000,2
O0000344,C00107,2025-11-09,420000,2
O0000345,C00107,2025-11-13,468000,3
O0000346,C00107,2025-12-06,1480000,3
O0000347,C00107,2025-12-12,534000,2
O0000348,C00107,2025-12-18,77000,1
O0000349,C00107,2025-12-22,193000,1
O0000350,C00107,2025-12-27,249000,1
O0000351,C00107,2026-01-01,1091000,5
O0000352,C00107,2026-01-01,439000,3
O0000353,C00107,2026-01-05,657000,4
O0000354,C00107,2026-01-08,649000,5
O0000355,C00107,2026-01-14,1445000,5
O0000356,C00107,2026-01-17,68000,1
O0000357,C00107,2026-01-18,625000,1
O0000358,C00108,2025-06-10,1172000,4
O0000359,C00109,2025-05-13,279000,3
O0000360,C00109,2025-05-16,112000,1
O0000361,C00109,2025-06-01,556000,4
O0000362,C00109,2025-07-24,534000,2
O0000363,C00109,2025-07-25,907000,5
O0000364,C00109,2025-07-27,218000,2
O0000365,C00110,2025-01-23,266000,1
O0000366,C00110,2025-02-06,991000,3
O0000367,C00110,2025-02-20,613000,3
O0000368,C00110,2025-03-07,267000,1
O0000369,C00110,2025-03-21,394000,2
O0000370,C00111,2024-07-18,56000,1
O0000371,C00111,2024-07-23,341000,4
O0000372,C00111,2024-08-08,189000,1
O0000373,C00111,2024-08-10,428000,3
O0000374,C00111,2024-08-13,144000,2
O0000375,C00111,2024-08-19,245000,2
O0000376,C00111,2024-08-27,249000,1
O0000377,C00111,2024-09-01,318000,3
O0000378,C00111,2024-09-03,788000,2
O0000379,C00111,2024-09-07,492000,4
O0000380,C00111,2024-09-14,988000,4
O0000381,C00111,2024-09-14,532000,3
O0000382,C00111,2024-09-20,527000,3
O0000383,C00111,2024-09-21,584000,3
O0000384,C00111,2024-10-12,112000,2
O0000385,C00112,2025-10-19,482000,3
O0000386,C00112,2025-11-01,625000,1
O0000387,C00112,2025-11-05,725000,3
O0000388,C00112,2025-11-05,653000,4
O0000389,C00112,2025-11-15,245000,1
O0000390,C00112,2025-12-04,105000,2
O0000391,C00112,2025-12-10,1236000,5
O0000392,C00112,2025-12-27,260000,2
O0000393,C00113,2023-04-06,108000,1
O0000394,C00114,2024-05-01,174000,2
O0000395,C00114,2024-07-08,513000,4
O0000396,C00114,2024-07-20,1640000,9
O0000397,C00115,2023-08-19,596000,2
O0000398,C00116,2025-01-18,659000,7
O0000399,C00117,2024-07-22,198000,2
O0000400,C00117,2024-08-03,100000,2
O0000401,C00117,2024-08-17,90000,1
O0000402,C00117,2024-08-23,188000,1
O0000403,C00118,2025-12-08,56000,1
O0000404,C00118,2025-12-10,962000,4
O0000405,C00118,2025-12-25,556000,2
O0000406,C00118,2026-01-07,215000,1
O0000407,C00118,2026-01-12,264000,2
O0000408,C00118,2026-01-20,168000,1
O0000409,C00118,2026-01-31,314000,2
O0000410,C00118,2026-02-08,783000,3
O0000411,C00118,2026-02-10,610000,3
O0000412,C00119,2024-06-08,998000,4
O0000413,C00120,2024-08-05,298000,2
O0000414,C00120,2024-09-21,250000,3
O0000415,C00120,2024-09-30,258000,2
O0000416,C00120,2024-10-03,286000,3
O0000417,C00120,2024-10-21,215000,1
O0000418,C00121,2024-11-12,1076000,5
O0000419,C00122,2024-07-10,141000,1
O0000420,C00123,2025-10-09,276000,2
O0000421,C00124,2024-10-30,495000,4
O0000422,C00124,2024-11-17,397000,2
O0000423,C00124,2024-11-18,417000,4
O0000424,C00124,2024-11-28,1397000,3
O0000425,C00124,2024-12-04,641000,5
O0000426,C00125,2025-03-10,485000,3
O0000427,C00125,2025-03-13,431000,4
O0000428,C00125,2025-03-25,253000,2
O0000429,C00125,2025-03-28,498000,2
O0000430,C00125,2025-04-05,548000,2
O0000431,C00125,2025-04-08,353000,2
O0000432,C00125,2025-04-10,471000,5
O0000433,C00125,2025-04-18,49000,1
O0000434,C00125,2025-04-21,556000,2
O0000435,C00125,2025-04-29,583000,3
O0000436,C00125,2025-05-13,316000,2
O0000437,C00125,2025-05-17,335000,2
O0000438,C00125,2025-05-19,289000,2
O0000439,C00125,2025-06-03,577000,1
O0000440,C00126,2025-11-17,857000,7
O0000441,C00127,2023-07-19,1750000,7
O0000442,C00127,2023-07-25,324000,3
O0000443,C00127,2023-08-06,1019000,6
O0000444,C00127,2023-08-14,257000,1
