order_id,customer_id,order_date,order_value,num_items
O0000001,C06479,2019-01-01,1035168.94,2
O0000002,C02331,2019-01-01,854575.59,4
O0000003,C03771,2019-01-01,846525.31,3
O0000004,C01296,2019-01-01,1196147.47,3
O0000005,C09468,2019-01-01,1058863.93,2
O0000006,C05921,2019-01-01,669887.19,1
O0000007,C04907,2019-01-01,932279.49,4
O0000008,C04678,2019-01-01,532278.03,3
O0000009,C07835,2019-01-01,395044.41,1
O0000010,C09673,2019-01-01,1013589.84,3
O0000011,C05339,2019-01-01,1364923.51,4
O0000012,C03030,2019-01-01,177636.04,1
O0000013,C04541,2019-01-01,1269668.9,4
O0000014,C08468,2019-01-01,974564.76,4
O0000015,C04964,2019-01-01,254275.03,1
O0000016,C05205,2019-01-01,523680.97,2
O0000017,C02574,2019-01-01,107050.04,1
O0000018,C06280,2019-01-01,533040.65,1
O0000019,C04154,2019-01-01,479172.01,2
O0000020,C02632,2019-01-01,230156.12,1
O0000021,C00472,2019-01-01,83493.59,1
O0000022,C00588,2019-01-01,114888.87,1
O0000023,C07515,2019-01-01,1544763.2,3
O0000024,C03092,2019-01-01,547640.65,3
O0000025,C09952,2019-01-01,516094.68,2
O0000026,C03589,2019-01-02,395030.94,3
O0000027,C05427,2019-01-02,982102.99,3
O0000028,C04548,2019-01-02,812777.26,3
O0000029,C09888,2019-01-02,953233.58,4
O0000030,C03159,2019-01-02,356663.95,1
O0000031,C08755,2019-01-02,655653.62,2
O0000032,C01189,2019-01-02,998452.59,4
O0000033,C06712,2019-01-02,1486855.36,4
O0000034,C06695,2019-01-02,233657.91,1
O0000035,C02070,2019-01-02,513933.52,2
O0000036,C01854,2019-01-02,469556.81,3
O0000037,C00189,2019-01-02,315622.72,1
O0000038,C03195,2019-01-02,648267.79,4
O0000039,C04382,2019-01-02,259750.83,2
O0000040,C02802,2019-01-02,362902.01,2
O0000041,C00511,2019-01-02,346937.31,2
O0000042,C05500,2019-01-02,201729.86,1
O0000043,C04292,2019-01-02,196762.33,1
O0000044,C01996,2019-01-02,404857.05,3
O0000045,C03864,2019-01-02,175676.78,1
O0000046,C09141,2019-01-02,1261003.15,5
O0000047,C08656,2019-01-03,1041722.42,5
O0000048,C01131,2019-01-03,234312.08,1
O0000049,C01156,2019-01-03,417536.23,2
O0000050,C06591,2019-01-03,325857.62,1
O0000051,C00959,2019-01-03,194475.76,1
O0000052,C04926,2019-01-03,111427.4,1
O0000053,C02084,2019-01-03,129168.0,1
O0000054,C03134,2019-01-03,380461.65,2
O0000055,C06586,2019-01-03,399077.1,2
O0000056,C02712,2019-01-03,586557.78,2
O0000057,C00661,2019-01-03,1422206.44,3
O0000058,C00282,2019-01-03,466883.62,2
O0000059,C01323,2019-01-03,835410.27,4
O0000060,C08621,2019-01-03,133730.56,1
O0000061,C06329,2019-01-03,441519.48,3
O0000062,C09927,2019-01-03,2538721.72,5
O0000063,C09636,2019-01-03,213185.53,1
O0000064,C04924,2019-01-03,740622.85,4
O0000065,C06175,2019-01-03,345478.98,1
O0000066,C09601,2019-01-03,1050868.4,3
O0000067,C06841,2019-01-03,478450.34,2
O0000068,C07123,2019-01-03,712596.06,2
O0000069,C02122,2019-01-03,693639.2,3
O0000070,C03551,2019-01-03,346094.59,2
O0000071,C03331,2019-01-03,1219759.21,3
O0000072,C00458,2019-01-03,510904.57,2
O0000073,C08640,2019-01-03,398002.81,1
O0000074,C00459,2019-01-04,164697.38,1
O0000075,C04811,2019-01-04,429034.3,3
O0000076,C02725,2019-01-04,323169.2,1
O0000077,C05971,2019-01-04,467818.6,3
O0000078,C06853,2019-01-04,1664783.92,4
O0000079,C09383,2019-01-04,240886.23,2
O0000080,C02937,2019-01-04,1613499.26,4
O0000081,C01984,2019-01-04,272284.96,2
O0000082,C02373,2019-01-04,431350.97,2
O0000083,C07556,2019-01-04,1053477.74,4
O0000084,C00846,2019-01-04,1305678.57,2
O0000085,C08458,2019-01-04,227427.71,1
O0000086,C03895,2019-01-04,304486.26,1
O0000087,C08642,2019-01-04,1979763.96,4
O0000088,C02872,2019-01-04,154072.5,1
O0000089,C04980,2019-01-04,110484.69,1
O0000090,C05497,2019-01-04,966580.23,2
O0000091,C02432,2019-01-04,310537.18,1
O0000092,C04360,2019-01-04,179744.01,1
O0000093,C01527,2019-01-04,1358769.26,5
O0000094,C08658,2019-01-04,561055.35,2
O0000095,C02995,2019-01-04,355869.17,1
O0000096,C06883,2019-01-04,676288.88,4
O0000097,C07241,2019-01-04,602204.0,2
O0000098,C05145,2019-01-05,1635028.88,5
O0000099,C05249,2019-01-05,143429.34,1
O0000100,C05589,2019-01-05,152793.16,1
O0000101,C07280,2019-01-05,125571.46,1
O0000102,C04106,2019-01-05,184554.95,1
O0000103,C04908,2019-01-05,223223.02,1
O0000104,C07285,2019-01-05,1149043.05,4
O0000105,C09142,2019-01-05,1837421.26,3
O0000106,C03961,2019-01-05,286982.02,1
O0000107,C02849,2019-01-05,599308.77,3
O0000108,C08774,2019-01-05,814021.48,2
O0000109,C08399,2019-01-05,1301349.71,4
O0000110,C00922,2019-01-05,885261.77,3
O0000111,C09241,2019-01-06,297491.31,1
O0000112,C02105,2019-01-06,1316871.22,2
O0000113,C02313,2019-01-06,234016.84,1
O0000114,C05225,2019-01-06,851483.29,2
O0000115,C01894,2019-01-06,382088.31,1
O0000116,C03569,2019-01-06,212122.67,1
O0000117,C06029,2019-01-06,428251.82,3
O0000118,C01633,2019-01-06,449884.66,2
O0000119,C00402,2019-01-06,313122.99,2
O0000120,C07969,2019-01-06,537291.81,3
O0000121,C08444,2019-01-06,544775.56,2
O0000122,C00740,2019-01-06,641763.65,1
O0000123,C07985,2019-01-06,135242.46,1
O0000124,C05578,2019-01-06,871676.91,3
O0000125,C06323,2019-01-06,1073368.24,5
O0000126,C00724,2019-01-06,942551.13,4
O0000127,C06519,2019-01-06,615936.5,2
O0000128,C06890,2019-01-06,866090.96,3
O0000129,C05224,2019-01-06,2289905.43,5
O0000130,C08921,2019-01-06,79520.8,1
O0000131,C09688,2019-01-06,1321715.71,4
O0000132,C04309,2019-01-06,275023.88,2
O0000133,C01801,2019-01-06,101057.94,1
O0000134,C03960,2019-01-06,683827.76,2
O0000135,C09204,2019-01-06,561007.99,2
O0000136,C00849,2019-01-06,626818.72,3
O0000137,C08446,2019-01-06,593693.62,3
O0000138,C00399,2019-01-07,692902.06,3
O0000139,C01701,2019-01-07,1103077.08,5
O0000140,C04765,2019-01-07,589302.92,2
O0000141,C09518,2019-01-07,981665.3,3
O0000142,C09824,2019-01-07,433773.93,2
O0000143,C02584,2019-01-07,619311.26,3
O0000144,C09981,2019-01-07,574107.04,2
O0000145,C03646,2019-01-07,266438.43,2
O0000146,C00033,2019-01-07,81610.83,1
O0000147,C07309,2019-01-07,1523774.63,4
O0000148,C05482,2019-01-07,46488.58,1
O0000149,C07960,2019-01-07,848652.5,2
O0000150,C06983,2019-01-07,1046332.02,3
O0000151,C01226,2019-01-07,121063.46,1
O0000152,C06778,2019-01-07,298458.49,1
O0000153,C07436,2019-01-07,787419.4,1
O0000154,C06937,2019-01-07,444587.78,2
O0000155,C03966,2019-01-07,971716.29,4
O0000156,C06688,2019-01-07,360070.59,1
O0000157,C07510,2019-01-08,462799.35,2
O0000158,C03158,2019-01-08,378391.36,2
O0000159,C08191,2019-01-08,123034.41,1
O0000160,C04271,2019-01-08,692291.28,2
O0000161,C02007,2019-01-08,64951.73,1
O0000162,C00132,2019-01-08,973893.87,2
O0000163,C07501,2019-01-08,595806.84,3
O0000164,C04658,2019-01-08,648477.54,4
O0000165,C00589,2019-01-08,312501.99,1
O0000166,C00621,2019-01-08,182507.1,1
O0000167,C00936,2019-01-08,396438.12,2
O0000168,C08770,2019-01-08,1235972.61,2
O0000169,C08137,2019-01-08,565318.07,2
O0000170,C08872,2019-01-08,298659.94,2
O0000171,C02786,2019-01-08,406935.83,3
O0000172,C02519,2019-01-08,1541838.11,3
O0000173,C03010,2019-01-08,519024.48,2
O0000174,C09642,2019-01-08,333853.07,2
O0000175,C03127,2019-01-08,193160.99,1
O0000176,C06016,2019-01-09,431624.11,2
O0000177,C00852,2019-01-09,154137.26,1
O0000178,C06951,2019-01-09,726244.78,2
O0000179,C00862,2019-01-09,850369.38,4
O0000180,C08561,2019-01-09,356774.66,2
O0000181,C02966,2019-01-09,948079.09,3
O0000182,C08264,2019-01-09,464923.66,2
O0000183,C03046,2019-01-09,657495.8,3
O0000184,C01737,2019-01-09,222702.33,2
O0000185,C08204,2019-01-09,842929.75,2
O0000186,C06118,2019-01-09,808343.73,3
O0000187,C07841,2019-01-09,917470.41,4
O0000188,C09096,2019-01-10,123107.54,1
O0000189,C08215,2019-01-10,979996.91,4
O0000190,C00164,2019-01-10,710720.8,4
O0000191,C00272,2019-01-10,476328.89,2
O0000192,C03257,2019-01-10,597325.33,2
O0000193,C04828,2019-01-10,688909.33,2
O0000194,C04197,2019-01-10,738633.42,2
O0000195,C04981,2019-01-10,711692.39,4
O0000196,C01298,2019-01-10,1654721.96,5
O0000197,C08312,2019-01-10,1112258.23,4
