order_detail_id,order_id,product_id,quantity,price_unit,discount,created_at
OD000000001,O0000001,Dầu Gội Khô Spes Dạng Xịt Hương Bưởi 150ml,1,895000.0,0.0,2025-04-26 11:00:52
OD000000002,O0000002,Phấn Mắt Vacosi 3 Màu (Hộp Tròn) 02 Peachie 5g,1,981000.0,0.0,2025-05-27 05:43:20
OD000000003,O0000003,Kem Chống Nắng Vichy Thoáng Nhẹ Không Bóng Dầu SPF 50 50ml,1,300000.0,0.0,2025-09-10 23:38:54
OD000000004,O0000004,Xịt Thơm B.O.M Hương Nước Hoa Chiffon Vanilla 110ml,1,275000.0,0.0,2025-09-11 21:00:51
OD000000005,O0000004,Phấn Mắt Australis Neutralize 2 Eyeshadow Palette 22.5g,2,894000.0,0.0,2025-09-11 21:00:51
OD000000006,O0000004,[HSD 05/2026] Son Kem Bán Lì Australis #Ceo Màu Đỏ Hồng Sậm 8ml,2,1162000.0,0.0,2025-09-11 21:00:51
OD000000007,O0000005,Son Dưỡng B.O.M 07 Pure Chili - Đỏ Nâu 4.5g,1,210000.0,0.0,2025-10-03 11:04:48
OD000000008,O0000005,Nước Tẩy Trang Cocoon Bí Đao Làm Sạch & Giảm Dầu 140ml,1,1180000.0,0.0,2025-10-03 11:04:48
OD000000009,O0000005,Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml,1,1166000.0,0.0,2025-10-03 11:04:48
OD000000010,O0000006,Son Kem Silkygirl Tươi Mọng Lâu Trôi - 06 Hồng San Hô 4.5g,1,489000.0,55908.38,2024-12-22 10:47:51
OD000000011,O0000006,Nước Hoa Vùng Kín Foellie Hương Hoa Ngọc Lan Tây 5ml,1,89000.0,12902.33,2024-12-22 10:47:51
OD000000012,O0000006,Son Kem Bùn & Má Hồng Into You - EM112 Hoa Hồng Đỏ 2g (Thỏi),1,356000.0,59822.84,2024-12-22 10:47:51
OD000000013,O0000006,[HSD 06/2026] Son Tint Joocyee Màu 743 Clear Late Wind 5.2g,1,640000.0,0.0,2024-12-22 10:47:51
OD000000014,O0000007,"Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",1,67000.0,13276.52,2025-09-28 14:33:34
OD000000015,O0000007,Combo 2 Sữa Tắm Johnson's Adult 2 Trong 1 Cấp Ẩm Cho Người Lớn 750ml,1,70000.0,0.0,2025-09-28 14:33:34
OD000000016,O0000008,Combo Avène Sữa Chống Nắng Quang Phổ Rộng Cho Da Dầu Mụn 50ml + Xịt Khoáng 50ml,1,1079000.0,136623.63,2025-02-16 02:11:19
OD000000017,O0000009,Sữa Rửa Mặt La Roche-Posay Cho Da Hỗn Hợp & Da Dầu 125ml,2,1048000.0,175761.82,2024-12-27 15:41:06
OD000000018,O0000009,Bảng Phấn Mắt Australis 12 Màu Hazy Daze 9g,2,912000.0,104451.73,2024-12-27 15:41:06
OD000000019,O0000009,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,1,570000.0,0.0,2024-12-27 15:41:06
OD000000020,O0000010,Bộ Gội Xả Bưởi Cocoon Không Sulfate Và Giảm Gãy Rụng (310ml/chai),1,640000.0,0.0,2025-10-05 02:31:32
OD000000021,O0000010,Combo Cocoon Dầu Gội 310ml + Nước Dưỡng Tóc 140ml Tinh Dầu Bưởi,1,969000.0,134527.57,2025-10-05 02:31:32
OD000000022,O0000011,Sữa Dưỡng Thể Cathy Doll Hương Nước Hoa White Moon 150ml,2,201000.0,20311.71,2025-09-15 19:25:51
OD000000023,O0000011,Mascara Maybelline Tơi Dài Mi Không Giới Hạn,1,504000.0,0.0,2025-09-15 19:25:51
OD000000024,O0000012,[HSD 05/2026] Nước Tẩy Trang Silkygirl Làm Sạch Da Dịu Nhẹ 105ml,1,502000.0,0.0,2025-02-13 19:51:43
OD000000025,O0000012,Combo Cocoon Nước Tẩy Trang Bí Đao 500ml + Sữa Chống Nắng Bí Đao 50ml,1,122000.0,0.0,2025-02-13 19:51:43
OD000000026,O0000013,Son Bóng 3CE Dạng Gel Màu Very Sure 4g,1,566000.0,0.0,2025-03-24 21:54:01
OD000000027,O0000014,Dầu Gội Dược Liệu Nguyên Xuân Cho Tóc Hư Tổn 350ml,1,1130000.0,0.0,2024-05-04 05:36:07
OD000000028,O0000015,Phấn Má Hồng Lilybyred 01 Loveable Coral - Hồng Cam Đào 4.7g,1,320000.0,34846.94,2024-10-02 21:31:01
OD000000029,O0000015,Xịt Thơm Toàn Thân Kiss My Body Sweetie 88ml,1,233000.0,29959.6,2024-10-02 21:31:01
OD000000030,O0000016,Phấn Nước Lime Kiềm Dầu No.10 Pink Vanilla Da Trắng Sáng 20g,3,220000.0,39449.49,2025-09-05 23:52:22
OD000000031,O0000016,Máy Tăm Nước Gấp Gọn Havatek Cao Cấp Màu Xanh Mint,2,394000.0,43931.43,2025-09-05 23:52:22
OD000000032,O0000017,Tắm Gội Trẻ Em Pigeon Dịu Nhẹ Hương Hoa Hướng Dương 200ml,1,272000.0,0.0,2025-09-25 17:08:46
OD000000033,O0000018,Son Tint Black Rouge DL06 Woody Layer Đỏ Nâu Pha Cam 4.1g,2,1170000.0,0.0,2025-06-03 18:07:08
OD000000034,O0000018,Bàn Chải Điện P/S Sonic Expert Sạch Mảng Bám 8X Màu Hồng,2,64000.0,11308.55,2025-06-03 18:07:08
OD000000035,O0000018,Kem Đánh Răng Perioe Total7 Vị Nguyên Bản 120g,1,421000.0,51463.8,2025-06-03 18:07:08
OD000000036,O0000019,Phấn Nước Đơn Lemonade A02 Natural 15g (Vỏ Mới),2,1196000.0,228864.25,2025-06-27 06:57:01
OD000000037,O0000019,Kem Đánh Răng Median IQ 93% Trắng Răng Màu Đỏ 120g,2,722000.0,0.0,2025-06-27 06:57:01
OD000000038,O0000019,Dầu Xả Curél Cấp Ẩm Chuyên Sâu 420ml,1,934000.0,0.0,2025-06-27 06:57:01
OD000000039,O0000020,Sữa Tắm Nước Hoa Tesori d'Oriente Hy Lạp Cổ Đại 500ml,2,582000.0,38687.07,2025-09-15 16:02:28
OD000000040,O0000021,Phấn Phủ Hexze Dạng Bột Mỏng Nhẹ - Màu T01 Trắng Sáng 7g,2,305000.0,0.0,2025-10-04 12:58:20
OD000000041,O0000021,Chì Kẻ Mắt B.O.M Siêu Mảnh Lâu Trôi 03 Màu Nâu Đậm 0.1g,1,1083000.0,0.0,2025-10-04 12:58:20
OD000000042,O0000021,Kem Che Khuyết Điểm The Saem - 1.5 Natural Beige 9.5g,1,1182000.0,0.0,2025-10-04 12:58:20
OD000000043,O0000022,"Gel Rửa Mặt Cetaphil Sạch Sâu, Tẩy Tế Bào Chết Dịu Nhẹ 473ml",1,356000.0,41184.19,2025-08-29 16:49:53
OD000000044,O0000022,Kem Xả Serum Dove Biotin Giảm Gãy Rụng 300g (Mới),1,483000.0,0.0,2025-08-29 16:49:53
OD000000045,O0000022,Combo 2 Dầu Gội Khô Girlz Only Dành Cho Tóc Nhuộm Sáng Màu 100ml,1,1177000.0,0.0,2025-08-29 16:49:53
OD000000046,O0000022,Combo 4 Gel Rửa Mặt La Roche-Posay Cho Da Dầu Nhạy Cảm 50ml,2,1089000.0,0.0,2025-08-29 16:49:53
OD000000047,O0000023,"Kem Lót Australis Kiềm Dầu, Che Lỗ Chân Lông 30ml",1,521000.0,0.0,2025-05-11 06:39:22
OD000000048,O0000024,"[HSD 06/2026] Kem Nền L’Oreal Che Phủ Cao, Kiềm Dầu #105 Tông Trắng 30ml",1,611000.0,86341.25,2025-10-04 17:35:23
OD000000049,O0000025,"Mặt Nạ Acnes Giảm Mụn, Dịu Da 65g (3 Miếng)",1,723000.0,0.0,2025-04-05 02:17:07
OD000000050,O0000026,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Dầu Nhạy Cảm 500ml,1,878000.0,96641.72,2025-08-05 02:09:54
OD000000051,O0000027,"Mặt Nạ Foodaholic Vitamin K Se Lỗ Chân Lông, Làm Dịu Da 23g",1,981000.0,0.0,2025-09-12 23:51:29
OD000000052,O0000027,Mặt Nạ Mediheal Chiết Xuất Rau Má Cho Da Nhạy Cảm 24ml,1,1055000.0,181466.59,2025-09-12 23:51:29
OD000000053,O0000028,Son Kem Lì 2In1 Silkygirl 04 Pepper Love Màu Đỏ Cherry 3.8ml,1,805000.0,0.0,2025-09-28 23:20:58
OD000000054,O0000028,Kem Đánh Răng Colgate Sáng Răng Từ Khoáng Núi Lửa 100g,2,643000.0,46739.44,2025-09-28 23:20:58
OD000000055,O0000029,Kem Đánh Răng Closeup Trắng Bật Tông 3X Khoáng Trắng 100g,2,609000.0,0.0,2025-10-01 11:56:15
