order_detail_id,order_id,product_id,quantity,price_unit,discount,created_at
OD000000001,O0000001,Dầu Gội Khô Spes Dạng Xịt Hương Bưởi 150ml,1,895000.0,0.0,2025-04-26 11:00:52
OD000000002,O0000002,Sữa Rửa Mặt Nivea Dạng Gel Tạo Bọt Sạch Sâu Ngừa Mụn 90ml,4,1129000.0,0.0,2024-11-03 16:43:37
OD000000003,O0000003,Nước Hoa Nữ YSL Libre EDP Intense 90ml,4,985000.0,0.0,2025-01-01 12:20:14
OD000000004,O0000003,Bộ 3 Bàn Chải Đánh Răng Sensodyne Chăm Sóc Răng Ê Buốt,1,378000.0,19196.96,2025-01-01 12:20:14
OD000000005,O0000004,Xịt Thơm B.O.M Hương Nước Hoa Chiffon Vanilla 110ml,1,275000.0,0.0,2025-09-11 19:04:51
OD000000006,O0000004,Phấn Mắt Australis Neutralize 2 Eyeshadow Palette 22.5g,1,894000.0,0.0,2025-09-11 19:04:51
OD000000007,O0000005,Nước Sữa Tẩy Trang Senka 2 Lớp Sạch Sâu & Dịu Mát 230ml,2,857000.0,78012.0,2025-04-14 18:47:18
OD000000008,O0000005,Combo 10 Mặt Nạ Wonjin Tăng Sinh Collagen Cấp Tốc 30ml,3,876000.0,70360.88,2025-04-14 18:47:18
OD000000009,O0000006,Son Kem Silkygirl Tươi Mọng Lâu Trôi - 06 Hồng San Hô 4.5g,2,489000.0,0.0,2025-07-08 18:27:32
OD000000010,O0000007,Serum Dưỡng Tóc Ellips Vitamin Hương Hoa Sen Nước Vỉ 8 Viên,1,817000.0,0.0,2024-08-09 10:18:35
OD000000011,O0000007,Kem Dưỡng Ẩm Kutieskin Mềm Da Hàng Ngày Cho Bé 30g,1,396000.0,51689.19,2024-08-09 10:18:35
OD000000012,O0000007,Dầu Tẩy Trang DHC Chiết Xuất Olive Làm Sạch Sâu Da 70ml,1,415000.0,73691.07,2024-08-09 10:18:35
OD000000013,O0000007,[Mini] Son Kem Lì 3CE Mịn Như Nhung Taupe Đỏ Gạch 1.5g,1,773000.0,132023.03,2024-08-09 10:18:35
OD000000014,O0000007,"Dầu Gội Khô Batiste Dành Cho Tóc Vàng, Tóc Sáng Màu 200ml",1,938000.0,0.0,2024-08-09 10:18:35
OD000000015,O0000008,Son Tint Lì Into You Mịn Mờ Mỏng Nhẹ - W02 2.6g,1,1090000.0,130768.35,2025-09-18 06:49:22
OD000000016,O0000008,Xịt Khoá Makeup City Color Kiểm Soát Dầu 75ml,1,576000.0,0.0,2025-09-18 06:49:22
OD000000017,O0000009,"Nước Tẩy Trang Evoluderm Cho Da Mẫn Cảm, Kích Ứng 500ml",2,261000.0,28430.1,2024-12-20 08:04:51
OD000000018,O0000010,Combo 2 Dầu Gội Selsun Ngừa Gàu & Giảm Ngứa Da Đầu 50ml,1,541000.0,0.0,2025-08-20 03:25:45
OD000000019,O0000010,Kem Nền Australis Bắt Sáng Che Phủ Cao Màu Light Neutral 30ml,1,866000.0,0.0,2025-08-20 03:25:45
OD000000020,O0000010,"Mặt Nạ Foodaholic Chiết Xuất Tổ Yến Cấp Nước, Nâng Cơ 23g",1,224000.0,0.0,2025-08-20 03:25:45
OD000000021,O0000011,Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Xanh Dương),1,308000.0,29282.06,2025-02-28 11:54:14
OD000000022,O0000011,Bút Tạo Khối Silkygirl 2 Đầu 02 Natural Medium 8g,2,668000.0,0.0,2025-02-28 11:54:14
OD000000023,O0000011,"Sữa Tắm Grace And Glow English Pear Giảm Mụn, Mẩn Đỏ 400ml",1,575000.0,87200.67,2025-02-28 11:54:14
OD000000024,O0000012,Son Tint Black Rouge DL08 Apricot Nudism - Be Da 4.1g,1,620000.0,104508.22,2025-01-10 10:29:35
OD000000025,O0000013,Bút Kẻ Mắt Nước Judydoll Siêu Mảnh - 04 Nâu Xám 0.4g,3,704000.0,67026.77,2025-09-30 21:22:28
OD000000026,O0000014,Kem Chống Nắng Naris Cosmetics Dạng Gel Nâng Tone Da 80g,1,678000.0,0.0,2025-10-03 20:41:08
OD000000027,O0000014,Chì Kẻ Mày Maybelline 36H Lâu Trôi 04 Nâu Xám 0.25g,1,941000.0,0.0,2025-10-03 20:41:08
OD000000028,O0000015,Sữa Rửa Mặt The Cafuné Chiết Xuất Gừng Làm Sạch Sâu 120ml,2,188000.0,0.0,2025-03-29 02:19:28
OD000000029,O0000016,Son Lì B.O.M #811 My Fancy Red - Đỏ Rượu 3.5g,1,656000.0,0.0,2025-09-05 14:54:50
OD000000030,O0000016,Sữa Rửa Mặt Nivea Dạng Gel Tạo Bọt Sạch Sâu Ngừa Mụn 90ml,1,1129000.0,0.0,2025-09-05 14:54:50
OD000000031,O0000016,Combo 2 Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,1,600000.0,85981.35,2025-09-05 14:54:50
OD000000032,O0000016,"Mặt Nạ Banobagi Dưỡng Sáng, Làm Săn Chắc Da 30g (Tím)",2,145000.0,9904.68,2025-09-05 14:54:50
