order_id,customer_id,order_date,total_amount,currency,payment_method,status,channel,ai_suggested_crosssell,notes,created_at,updated_at
O0000001,1,2025-04-26 11:22:52,895000.0,VND,COD,Completed,TikTok Shop,"[{""product_id"": ""Dầu Gội Khô Spes Dạng Xịt Hương Bưởi 150ml"", ""title"": ""Spes""}]",,2025-04-26 11:00:52,2025-04-27 05:30:52
O0000002,1,2025-05-27 06:31:20,981000.0,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Phấn Mắt Vacosi 3 Màu (Hộp Tròn) 02 Peachie 5g"", ""title"": ""Vacosi""}]",,2025-05-27 05:43:20,2025-05-27 09:59:20
O0000003,1,2025-09-11 01:18:54,300000.0,VND,E-Wallet,Completed,Website,"[{""product_id"": ""Kem Chống Nắng Vichy Thoáng Nhẹ Không Bóng Dầu SPF 50 50ml"", ""title"": ""Vichy""}]",,2025-09-10 23:38:54,2025-09-11 23:11:54
O0000004,2,2025-09-11 21:04:51,4387000.0,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Phấn Mắt Australis Neutralize 2 Eyeshadow Palette 22.5g"", ""title"": ""australis""}, {""product_id"": ""[HSD 05/2026] Son Kem Bán Lì Australis #Ceo Màu Đỏ Hồng Sậm 8ml"", ""title"": ""australis""}]",,2025-09-11 21:00:51,2025-09-12 01:06:51
O0000005,3,2025-10-03 12:01:48,2556000.0,VND,Credit Card,Completed,TikTok Shop,"[{""product_id"": ""Nước Tẩy Trang Cocoon Bí Đao Làm Sạch & Giảm Dầu 140ml"", ""title"": ""Cocoon""}, {""product_id"": ""Son Dưỡng B.O.M 07 Pure Chili - Đỏ Nâu 4.5g"", ""title"": ""B.O.M""}, {""product_id"": ""Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml"", ""title"": ""Cocoon""}]",Yêu cầu gói quà,2025-10-03 11:04:48,2025-10-04 06:14:48
O0000006,4,2024-12-22 11:07:51,1445366.45,VND,COD,Completed,TikTok Shop,"[{""product_id"": ""Son Kem Bùn & Má Hồng Into You - EM112 Hoa Hồng Đỏ 2g (Thỏi)"", ""title"": ""Into You""}, {""product_id"": ""[HSD 06/2026] Son Tint Joocyee Màu 743 Clear Late Wind 5.2g"", ""title"": ""Joocyee""}, {""product_id"": ""Son Kem Silkygirl Tươi Mọng Lâu Trôi - 06 Hồng San Hô 4.5g"", ""title"": ""Silkygirl""}]",,2024-12-22 10:47:51,2024-12-22 20:45:51
O0000007,4,2025-09-28 15:48:34,123723.48,VND,Bank Transfer,Completed,Zalo,"[{""product_id"": ""Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml"", ""title"": ""Simple""}, {""product_id"": ""Combo 2 Sữa Tắm Johnson's Adult 2 Trong 1 Cấp Ẩm Cho Người Lớn 750ml"", ""title"": ""Johnson's""}]",,2025-09-28 14:33:34,2025-09-29 10:17:34
O0000008,4,2025-02-16 02:37:19,942376.37,VND,COD,Completed,TikTok Shop,"[{""product_id"": ""Combo Avène Sữa Chống Nắng Quang Phổ Rộng Cho Da Dầu Mụn 50ml + Xịt Khoáng 50ml"", ""title"": ""Avène""}]",,2025-02-16 02:11:19,2025-02-16 09:45:19
O0000009,5,2024-12-27 15:59:06,3929572.9,VND,COD,Completed,Website,"[{""product_id"": ""Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g"", ""title"": ""Sunplay""}]",,2024-12-27 15:41:06,2024-12-27 21:56:06
O0000010,6,2025-10-05 03:00:32,1474472.43,VND,E-Wallet,Pending,Instagram,"[{""product_id"": ""Bộ Gội Xả Bưởi Cocoon Không Sulfate Và Giảm Gãy Rụng (310ml/chai)"", ""title"": ""Cocoon""}, {""product_id"": ""Combo Cocoon Dầu Gội 310ml + Nước Dưỡng Tóc 140ml Tinh Dầu Bưởi"", ""title"": ""Cocoon""}]",,2025-10-05 02:31:32,2025-10-05 23:43:32
O0000011,7,2025-09-15 20:48:51,865376.58,VND,COD,Cancelled,Website,"[{""product_id"": ""Mascara Maybelline Tơi Dài Mi Không Giới Hạn"", ""title"": ""Maybelline""}, {""product_id"": ""Sữa Dưỡng Thể Cathy Doll Hương Nước Hoa White Moon 150ml"", ""title"": ""Cathy Doll""}]",,2025-09-15 19:25:51,2025-09-16 16:58:51
O0000012,7,2025-02-13 20:10:43,624000.0,VND,Bank Transfer,Pending,Website,"[{""product_id"": ""Combo Cocoon Nước Tẩy Trang Bí Đao 500ml + Sữa Chống Nắng Bí Đao 50ml"", ""title"": ""Cocoon""}, {""product_id"": ""[HSD 05/2026] Nước Tẩy Trang Silkygirl Làm Sạch Da Dịu Nhẹ 105ml"", ""title"": ""Silkygirl""}]",,2025-02-13 19:51:43,2025-02-14 06:44:43
O0000013,7,2025-03-24 23:49:01,566000.0,VND,Bank Transfer,Pending,Instagram,"[{""product_id"": ""Son Bóng 3CE Dạng Gel Màu Very Sure 4g"", ""title"": ""3CE""}]",,2025-03-24 21:54:01,2025-03-25 20:27:01
O0000014,7,2024-05-04 05:45:07,1130000.0,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Dầu Gội Dược Liệu Nguyên Xuân Cho Tóc Hư Tổn 350ml"", ""title"": ""Nguyên Xuân""}]",Ưu tiên giao nhanh,2024-05-04 05:36:07,2024-05-04 09:18:07
O0000015,8,2024-10-02 22:47:01,488193.46,VND,E-Wallet,Completed,Zalo,"[{""product_id"": ""Phấn Má Hồng Lilybyred 01 Loveable Coral - Hồng Cam Đào 4.7g"", ""title"": ""Lilybyred""}, {""product_id"": ""Xịt Thơm Toàn Thân Kiss My Body Sweetie 88ml"", ""title"": ""Kiss My Body""}]",,2024-10-02 21:31:01,2024-10-03 10:20:01
O0000016,8,2025-09-06 01:03:22,1241788.67,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Phấn Nước Lime Kiềm Dầu No.10 Pink Vanilla Da Trắng Sáng 20g"", ""title"": ""Lime""}, {""product_id"": ""Máy Tăm Nước Gấp Gọn Havatek Cao Cấp Màu Xanh Mint"", ""title"": ""Havatek""}]",,2025-09-05 23:52:22,2025-09-06 10:12:22
O0000017,9,2025-09-25 18:07:46,272000.0,VND,Credit Card,Completed,TikTok Shop,"[{""product_id"": ""Tắm Gội Trẻ Em Pigeon Dịu Nhẹ Hương Hoa Hướng Dương 200ml"", ""title"": ""Pigeon""}]",,2025-09-25 17:08:46,2025-09-26 13:04:46
