order_id,customer_id,order_date,total_amount,currency,payment_method,status,channel,ai_suggested_crosssell,notes,created_at,updated_at
O0000001,1,2025-04-26 11:22:52,895000.0,VND,COD,Completed,TikTok Shop,"[{""product_id"": ""Dầu Gội Khô Spes Dạng Xịt Hương Bưởi 150ml"", ""title"": ""Spes""}]",,2025-04-26 11:00:52,2025-04-27 05:30:52
O0000002,1,2024-11-03 17:31:37,4516000.0,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Sữa Rửa Mặt Nivea Dạng Gel Tạo Bọt Sạch Sâu Ngừa Mụn 90ml"", ""title"": ""Nivea""}]",Dùng ví điện tử,2024-11-03 16:43:37,2024-11-03 20:59:37
O0000003,1,2025-01-01 13:36:14,4298803.04,VND,E-Wallet,Returned,Zalo,"[{""product_id"": ""Bộ 3 Bàn Chải Đánh Răng Sensodyne Chăm Sóc Răng Ê Buốt"", ""title"": ""Sensodyne""}]",,2025-01-01 12:20:14,2025-01-01 17:27:14
O0000004,2,2025-09-11 21:04:51,1169000.0,VND,Credit Card,Completed,TikTok Shop,"[{""product_id"": ""Phấn Mắt Australis Neutralize 2 Eyeshadow Palette 22.5g"", ""title"": ""australis""}, {""product_id"": ""Xịt Thơm B.O.M Hương Nước Hoa Chiffon Vanilla 110ml"", ""title"": ""B.O.M""}]",,2025-09-11 19:04:51,2025-09-12 16:51:51
O0000005,3,2025-04-14 20:24:18,3974893.36,VND,COD,Completed,TikTok Shop,"[{""product_id"": ""Combo 10 Mặt Nạ Wonjin Tăng Sinh Collagen Cấp Tốc 30ml"", ""title"": ""WonJin""}, {""product_id"": ""Nước Sữa Tẩy Trang Senka 2 Lớp Sạch Sâu & Dịu Mát 230ml"", ""title"": ""Senka""}]",,2025-04-14 18:47:18,2025-04-15 07:47:18
O0000006,4,2025-07-08 19:39:32,978000.0,VND,Credit Card,Completed,Website,"[{""product_id"": ""Son Kem Silkygirl Tươi Mọng Lâu Trôi - 06 Hồng San Hô 4.5g"", ""title"": ""Silkygirl""}]",,2025-07-08 18:27:32,2025-07-09 17:31:32
O0000007,4,2024-08-09 11:33:35,3081596.71,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Kem Dưỡng Ẩm Kutieskin Mềm Da Hàng Ngày Cho Bé 30g"", ""title"": ""Kutieskin""}, {""product_id"": ""Dầu Tẩy Trang DHC Chiết Xuất Olive Làm Sạch Sâu Da 70ml"", ""title"": ""DHC""}, {""product_id"": ""[Mini] Son Kem Lì 3CE Mịn Như Nhung Taupe Đỏ Gạch 1.5g"", ""title"": ""3CE""}]",,2024-08-09 10:18:35,2024-08-09 12:28:35
O0000008,4,2025-09-18 07:11:22,1535231.65,VND,E-Wallet,Completed,TikTok Shop,"[{""product_id"": ""Xịt Khoá Makeup City Color Kiểm Soát Dầu 75ml"", ""title"": ""City Color""}]",,2025-09-18 06:49:22,2025-09-19 06:29:22
O0000009,5,2024-12-20 09:40:51,465139.8,VND,Bank Transfer,Completed,Website,"[{""product_id"": ""Nước Tẩy Trang Evoluderm Cho Da Mẫn Cảm, Kích Ứng 500ml"", ""title"": ""Evoluderm""}]",,2024-12-20 08:04:51,2024-12-21 01:08:51
O0000010,6,2025-08-20 03:54:45,1631000.0,VND,COD,Completed,Instagram,"[{""product_id"": ""Kem Nền Australis Bắt Sáng Che Phủ Cao Màu Light Neutral 30ml"", ""title"": ""australis""}, {""product_id"": ""Mặt Nạ Foodaholic Chiết Xuất Tổ Yến Cấp Nước, Nâng Cơ 23g"", ""title"": ""Foodaholic""}]",Yêu cầu gói quà,2025-08-20 03:25:45,2025-08-20 04:19:45
O0000011,7,2025-02-28 13:13:14,2102517.27,VND,COD,Completed,Website,"[{""product_id"": ""Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Xanh Dương)"", ""title"": ""Sunplay""}, {""product_id"": ""Bút Tạo Khối Silkygirl 2 Đầu 02 Natural Medium 8g"", ""title"": ""Silkygirl""}, {""product_id"": ""Sữa Tắm Grace And Glow English Pear Giảm Mụn, Mẩn Đỏ 400ml"", ""title"": ""Grace And Glow""}]",,2025-02-28 11:54:14,2025-03-01 10:23:14
O0000012,7,2025-01-10 11:34:35,515491.78,VND,COD,Completed,Instagram,"[{""product_id"": ""Son Tint Black Rouge DL08 Apricot Nudism - Be Da 4.1g"", ""title"": ""Black Rouge""}]",Ưu tiên giao nhanh,2025-01-10 10:29:35,2025-01-11 09:02:35
O0000013,7,2025-09-30 22:38:28,1910919.69,VND,E-Wallet,Completed,Zalo,"[{""product_id"": ""Bút Kẻ Mắt Nước Judydoll Siêu Mảnh - 04 Nâu Xám 0.4g"", ""title"": ""Judydoll""}]",,2025-09-30 21:22:28,2025-10-01 10:11:28
